ID,Question,Primary_Category,Secondary_Category,Complexity,Answerable,Reference_Answer,Source_Document,Source_Page,Question_Rationale
EQ023,What is the Wall of Receipts?,Definition,None,Low,Yes,"It is DOGE's web page for posting estimated savings from terminated contracts, grants, and leases.",GAO-26-108615,PDF p. 2,Definition stated in the report highlights.
EQ024,What is the Main Street Lending Program intended to serve?,Definition,None,Low,Yes,Its five facilities targeted small and midsize businesses and nonprofits.,GAO-26-108011,PDF p. 1,Defines the program's target population.
EQ025,What does GAO mean by a comprehensive cybersecurity strategy?,Definition,None,Medium,Yes,"It is a strategy and implementation approach that addresses desirable characteristics, including measurable outcomes and resources and costs.",GAO-24-106916,PDF p. 2,Requires connecting the strategy and implementation-plan criteria.
EQ026,What is the policy expectation for using CISA's playbook in incident response?,Policy,None,Low,Yes,Agencies are to use CISA's playbook to plan and conduct cybersecurity vulnerability and incident-response activities.,GAO-24-105658,PDF p. 2,Rule directly stated in the report.
EQ027,What is the policy concern with agencies' event logging implementation?,Policy,None,Low,Yes,Agencies had not met the Executive Order 14028 event-logging requirements as of August 2023.,GAO-24-105658,PDF p. 2,Rule and compliance finding are explicit.
EQ028,What is GAO's recommendation for State Department contingency plans affecting national security?,Policy,None,Low,Yes,The State Department should annually test contingency plans for systems with significant national-security impact.,GAO-24-107733,PDF p. 2,Specific recommendation stated in the snapshot.
EQ029,What policy role does the National Infrastructure Protection Plan assign for K-12 cybersecurity?,Policy,None,Low,Yes,"It establishes roles and responsibilities for protecting critical infrastructure, including the Education Subsector.",GAO-23-105480,PDF p. 2,Supported policy-framework role.
EQ030,What policy concern did GAO identify about transparency of DOGE contract savings?,Policy,None,Low,Yes,DOGE was not transparent about its calculation methodologies and did not use its stated method for most reported terminated-contract savings.,GAO-26-108615,PDF p. 2,Rule/oversight question based on stated finding.
EQ031,What are agencies expected to improve in risk-based information security programs?,Policy,None,Low,Yes,"They need stronger threat identification, secure configuration, timely patching or replacement of unsupported software, and comprehensive testing and evaluation.",GAO-16-885T,PDF p. 2,Policy expectation from the testimony.
EQ032,What policy issue did GAO identify for sharing cyber threat information with critical infrastructure?,Policy,None,Medium,Yes,Federal agencies and critical-infrastructure owners and operators need information sharing that is effective and timely; voluntary sharing and actionable-information gaps remain barriers.,GAO-24-107733,PDF p. 2,Combines the expectation with identified barriers.
EQ033,What policy gaps remained in the National Cybersecurity Strategy and implementation plan?,Policy,None,Medium,Yes,They did not fully incorporate outcome-oriented performance measures or estimated resources and costs.,GAO-24-107231,PDF p. 3,Requires identifying the two incomplete characteristics.
EQ034,What policy issue did GAO find in CISA's coordination on OT risks?,Policy,None,Medium,Yes,CISA had not fully addressed any of five selected leading collaboration practices with seven selected agencies.,GAO-24-106576,PDF p. 3,Requires interpreting the coordination assessment.
EQ035,What policy issue did GAO identify with the security of NIH's information systems?,Policy,None,Medium,Yes,"NIH had deficiencies across identifying risk, protecting systems, detecting and responding to events, and recovering operations.",GAO-22-104467,PDF p. 1,Multi-function policy finding; source document name corrected in output.
EQ036,What policy approach should agencies use for cybersecurity technologies protecting critical infrastructure?,Policy,None,Medium,Yes,"They should use a cybersecurity framework that determines security requirements, performs risk assessments, establishes policy, and selects appropriate technologies.",GAO-04-321,PDF p. 1,Framework policy synthesized from the report.
EQ037,What policy issue did GAO identify with the Navy's hypersonic modernization strategy?,Policy,None,Medium,Yes,The Navy and Army lacked a comprehensive strategy to guide investment decisions for the capability.,GAO-26-107974,PDF p. 3,Policy/strategy finding from contents and report highlights.
EQ038,What policy safeguards are relevant when an organization deploys a widely used security update?,Policy,None,High,Yes,"The reports emphasize supply-chain risk management, testing, contingency planning, and timely cyber information sharing to mitigate disruption risk.",GAO-24-107733; GAO-24-107231,PDF pp. 1-3,High-complexity policy synthesis across high-risk and outage evidence.
EQ039,"How should agencies prioritize cybersecurity oversight across strategy, systems, infrastructure, and privacy?",Policy,None,High,Yes,"They should address the four major challenges: comprehensive strategy and oversight, federal systems and information, critical infrastructure cybersecurity, and privacy and sensitive data.",GAO-24-107231,PDF pp. 1-2,Requires integrating the four-part framework.
EQ040,What policy response follows when a national strategy lacks outcome measures and resource estimates?,Policy,None,High,Yes,The strategy should add applicable outcome-oriented measures and estimated resources and costs so implementation can be assessed and managed.,GAO-24-106916; GAO-24-107231,PDF pp. 2-3,Cross-report policy synthesis.
EQ041,How should a K-12 organization prepare for a cyber incident according to the supplied reports?,Procedural,Policy,Low,Yes,"Use the applicable federal roles and guidance, coordinate with relevant federal support, and prepare for recovery because incidents can disrupt learning and operations.",GAO-23-105480,PDF p. 2,Short procedural question based on report guidance.
EQ042,How should an agency begin planning cyber vulnerability and incident-response activities?,Procedural,Policy,Low,Yes,Begin by using CISA's incident-response playbook for planning and conducting the activities.,GAO-24-105658,PDF p. 2,Direct procedure anchored to the stated requirement.
EQ043,How should an agency improve its ability to recover from a service disruption?,Procedural,None,Low,Yes,"Develop, plan for, and test contingency plans so it can detect, mitigate, and recover while preserving access to vital information.",GAO-24-107733,PDF p. 2,Concise procedure from the resiliency discussion.
EQ044,What steps should an agency take to strengthen a risk-based information-security program?,Procedural,Policy,Medium,Yes,Identify threats; securely configure assets; patch vulnerable systems or replace unsupported software; and comprehensively test and evaluate security controls.,GAO-16-885T,PDF p. 2,Ordered actions drawn from the report.
EQ045,How should an organization select cybersecurity technologies for critical-infrastructure protection?,Procedural,Policy,Medium,Yes,"Determine security business requirements, perform risk assessments, establish a security policy, and use the framework to select technologies.",GAO-04-321,PDF p. 1,Multi-step framework procedure.
EQ046,How should CISA and partner agencies improve collaboration on OT cybersecurity risks?,Procedural,Policy,Medium,Yes,"Use leading collaboration practices, including defining common outcomes, ensuring accountability, bridging cultures, and clarifying roles and responsibilities.",GAO-24-106576,PDF p. 3,Procedure based on collaboration-practice findings.
EQ047,How should a federal agency make its cyber threat information sharing more useful?,Procedural,Policy,Medium,Yes,Work with relevant agencies and critical-sector partners to make sharing effective and timely and address gaps in voluntary and actionable information.,GAO-24-107733,PDF p. 2,Action sequence derived from barriers and recommendation.
EQ048,"How should an agency structure incident-response readiness around people, tools, and outside support?",Procedural,None,Medium,Yes,"Combine response tools such as EDR, services such as threat hunting and intelligence, and resources including skilled staff and funding.",GAO-24-105658,PDF p. 2,Requires combining the three support types.
EQ049,How should a team measure progress on a national cybersecurity initiative?,Procedural,None,Medium,Yes,"Develop applicable outcome-oriented measures and use them with implementation planning, resources, and cost information to monitor progress.",GAO-24-106916,PDF p. 2,Procedure tied to the strategy gaps.
EQ050,"How should an oversight team review reported savings from terminated contracts, grants, and leases?",Procedural,Policy,Medium,Yes,"Check the calculation method, supporting evidence, data-quality limitations, and whether reported savings are overstated or unverifiable.",GAO-26-108615,PDF pp. 2-3,Review procedure grounded in the transparency findings.
EQ051,How should the Navy address its delayed hypersonic capability effort?,Procedural,Policy,High,Yes,"Use a comprehensive Navy-Army strategy to guide investment decisions while addressing modernization, testing, funding, quality, and production challenges.",GAO-26-107974,PDF pp. 2-3,High-complexity multi-condition procedure.
EQ052,How should an agency prepare for a software-supply-chain disruption like the CrowdStrike outage?,Procedural,Policy,High,Yes,"Manage supply-chain risk, test updates and contingency plans, and establish timely information-sharing arrangements to detect, mitigate, and recover from disruption.",GAO-24-107733,PDF pp. 1-2,Multi-step procedure based on the outage lessons.
EQ053,How should federal leaders close gaps in a national cybersecurity strategy?,Procedural,Policy,High,Yes,"Add outcome measures and resource/cost estimates, then strengthen oversight of supply-chain, workforce, and emerging-technology risks.",GAO-24-106916; GAO-24-107231,PDF pp. 2-3,Cross-document procedure requiring synthesis.
EQ054,How should a cybersecurity program address deficiencies across the five core security functions?,Procedural,Policy,High,Yes,"Assess and remediate deficiencies in identifying risk, protecting systems, detecting events, responding to events, and recovering operations, using the report's recommendations as the remediation agenda.",GAO-22-104467,PDF p. 1,Five-function remediation sequence.
EQ055,How should a critical-infrastructure operator use CISA OT services while managing their limitations?,Procedural,Policy,High,Yes,"Use relevant CISA products and services, document negative experiences or disclosure delays, and coordinate with partners to improve information-sharing processes.",GAO-24-106576,PDF pp. 2-3,"Requires benefits, limitations, and collaboration steps."
EQ056,How does operational technology differ from ordinary information technology in the supplied cybersecurity material?,Comparison,None,Low,Yes,OT interacts with the physical environment and controls processes; the reports describe IT systems more broadly as supporting information processing and operations.,GAO-24-106576; GAO-24-107231,"PDF pp. 2, 4",Comparison grounded in both reports' descriptions.
EQ057,How does the CrowdStrike outage differ from the SolarWinds attack?,Comparison,None,Low,Yes,"CrowdStrike involved a faulty security update and human error, while SolarWinds involved malicious actors targeting widely used support software.",GAO-24-107733,PDF p. 1,Direct comparison in the snapshot.
EQ058,"Compare the incident-response support roles of tools, services, and resources.",Comparison,None,Medium,Yes,Tools include EDR; services include threat hunting and intelligence; resources include skilled staff and funding.,GAO-24-105658,PDF p. 2,Comparison of the report's three support categories.
EQ059,Compare the two incomplete national-strategy characteristics identified by GAO.,Comparison,None,Medium,Yes,"Outcome-oriented measures show results, while resource and cost estimates show the means required; both were only partially addressed.",GAO-24-106916,PDF p. 2,Comparison of two strategy gaps.
EQ060,Compare the two main OT coordination challenges identified by selected agencies.,Comparison,None,Medium,Yes,The challenges were ineffective information sharing with owners/operators and no CISA-PHMSA process for sharing cyber threat information.,GAO-24-106576,PDF p. 3,Compares paired coordination issues.
EQ061,Compare the operational impacts of a K-12 cyberattack on learning and recovery.,Comparison,None,Medium,Yes,"Learning loss was reported as 3 days to 3 weeks, while recovery time was reported as 2 to 9 months.",GAO-23-105480,PDF p. 2,Compares two reported impact ranges.
EQ062,How do the cybersecurity findings for NIH and federal agencies generally compare?,Comparison,None,Medium,Yes,"Both identify gaps across core security activities; NIH had specific program and system-control deficiencies, while federal agencies broadly needed stronger risk-based programs, configuration, patching, and testing.",GAO-22-104467; GAO-16-885T,"PDF pp. 1, 2",Requires comparison across two reports.
EQ063,Compare the reported repayment outcome of the Main Street Program with the internal-control improvements described by GAO.,Comparison,None,Medium,Yes,"Seventy percent of loans had been repaid, while Federal Reserve Banks had processes addressing all 20 identified internal-control opportunities.",GAO-26-108011,PDF p. 1,Compares performance and control findings in one source.
EQ064,Compare Treasury's borrowing approach with the fiscal risk noted in the debt-management report.,Comparison,None,Medium,Yes,"Treasury uses larger, more frequent auctions and a regular predictable schedule to meet needs, but the deteriorating fiscal outlook poses risks those practices cannot resolve.",GAO-26-107529,PDF pp. 2-3,Compares operating approach with reported risk.
EQ065,Compare the types of cybersecurity technologies available for critical-infrastructure protection with the implementation gap identified by GAO.,Comparison,None,Medium,Yes,"Available technologies include access control, integrity, cryptography, auditing/monitoring, and configuration-management tools, but experts said they were not purchased or implemented to their full extent.",GAO-04-321,PDF p. 1,Comparison of availability versus adoption.
EQ066,Compare CISA's positive OT service experiences with the limitations reported by users.,Comparison,None,High,Yes,"Most selected entities reported positive experiences, but some reported negative experiences and vulnerability disclosures that could take more than a year; agencies also cited coordination barriers.",GAO-24-106576,PDF pp. 2-3,Requires weighing benefits and multiple limitations.
EQ067,Compare the cybersecurity governance gaps in the National Cybersecurity Strategy with the gaps revealed by the CrowdStrike outage.,Comparison,None,High,Yes,"The strategy lacked fully developed outcome measures and resource/cost estimates, while the outage highlighted operational gaps in supply-chain risk management, testing, contingency planning, and information sharing.",GAO-24-106916; GAO-24-107733,"PDF pp. 2, 1-2",Cross-document high-complexity comparison.
EQ068,Compare federal-system security challenges with critical-infrastructure cybersecurity challenges in GAO's high-risk framework.,Comparison,None,High,Yes,"Federal-system challenges concern securing systems and information; critical-infrastructure challenges concern protecting sector systems, including OT, where failures can harm safety, national security, the environment, and the economy.",GAO-24-107231,PDF pp. 2-4,Compares two high-risk domains and their consequences.
EQ069,"Compare the transparency problems in DOGE's contract, grant, and lease savings estimates.",Comparison,None,High,Yes,"For contracts, DOGE often did not use its stated method; for grants, 96 percent of reported savings lacked enough information for verification; for leases, the calculation explanation was absent and savings were overstated by more than $80 million.",GAO-26-108615,PDF pp. 2-3,Three-way comparison across programs and evidence issues.
EQ070,Compare the Navy's DDG 1000 modernization schedule challenge with its missile-production challenge.,Comparison,None,High,Yes,"Modernization was 24 months behind, while CPS production faced quality and production issues and was below the goal of 12 rounds per year; both also affected testing plans.",GAO-26-107974,PDF p. 2,Compares distinct but interacting capability constraints.
EQ071,Summarize the main incident-response preparedness finding for federal agencies.,Summary,None,Low,Yes,"Agencies made progress by standardizing plans and improving detection, analysis, and handling, but still needed to fully implement requirements, including event logging.",GAO-24-105658,PDF p. 2,Concise summary of a coherent finding.
EQ072,Summarize the main cybersecurity finding for K-12 schools.,Summary,None,Medium,Yes,"Cyber incidents, including ransomware, can significantly disrupt learning and impose recovery costs; national scale is uncertain and coordination/support gaps increase the challenge.",GAO-23-105480,PDF pp. 2-3,Summary combines impact and coordination findings.
EQ073,Summarize GAO's assessment of the National Cybersecurity Strategy and its implementation plan.,Summary,None,Medium,Yes,The documents fully addressed four of six desirable characteristics but only partially addressed outcome measures and estimated resources and costs.,GAO-24-106916,PDF p. 2,Summarizes the central assessment.
EQ074,Summarize the cybersecurity lessons of the CrowdStrike outage.,Summary,None,Medium,Yes,"A faulty update caused widespread outages and highlighted the importance of supply-chain risk management, testing, contingency planning, and cyber information sharing.",GAO-24-107733,PDF pp. 1-2,Summary of causal event and lessons.
EQ075,Summarize GAO's high-risk cybersecurity framework and current concern.,Summary,None,High,Yes,"GAO identifies four major challenges and 10 essential actions spanning strategy/oversight, federal systems, critical infrastructure, and privacy; progress has occurred but substantial work remains.",GAO-24-107231,PDF pp. 1-5,Broad synthesis of the framework and status.
EQ076,"Summarize the main findings on CISA's OT cybersecurity products, services, and coordination.",Summary,None,High,Yes,"Users often reported positive experiences, but GAO found negative experiences, staffing and disclosure concerns, information-sharing gaps, and incomplete use of leading collaboration practices.",GAO-24-106576,PDF pp. 2-3,"Synthesizes benefits, limitations, and coordination findings."
EQ077,Summarize the information-security challenges described in GAO's 2016 testimony.,Summary,None,High,Yes,"Cyber incidents had risen sharply, and agencies needed more effective risk-based programs, secure configuration, patching, replacement of unsupported software, and comprehensive testing and evaluation.",GAO-16-885T,PDF p. 2,High-level summary across several challenges.
EQ078,Summarize the key findings on Treasury debt management and fiscal risk.,Summary,None,High,Yes,"Treasury has increased auction size and frequency and uses predictable issuance to meet borrowing needs, but the deteriorating fiscal outlook poses market risks beyond its debt-management practices.",GAO-26-107529,PDF pp. 2-3,Synthesis of operations and risk.
EQ079,Summarize the Navy's hypersonic modernization findings.,Summary,None,High,Yes,"The Navy is behind on DDG 1000 modernization, faces unique sustainment, testing, funding, quality, and production challenges, and lacks a comprehensive Navy-Army investment strategy.",GAO-26-107974,PDF pp. 2-3,Synthesis of interdependent program findings.
EQ080,Summarize GAO's concerns about DOGE's Wall of Receipts savings figures.,Summary,None,High,Yes,"Reported savings lacked transparent methods and evidence; contract methodology was often not followed, most grant savings were unverifiable, and lease savings were overstated by more than $80 million.",GAO-26-108615,PDF pp. 2-3,"Synthesis across contracts, grants, and leases."
EQ081,How do CISA's incident-response playbook and the CrowdStrike findings work together to guide disruption preparedness?,Multi-document,Procedural,Medium,Yes,"Use CISA's playbook for planning and response, and strengthen supply-chain risk management, testing, contingency planning, and information sharing to improve resilience.",GAO-24-105658; GAO-24-107733,PDF pp. 2; 1-2,Requires evidence from two documents and synthesis.
EQ082,How do federal incident-response requirements relate to the broader high-risk cybersecurity challenges?,Multi-document,Policy,Medium,Yes,Incident-response readiness supports the high-risk goals of securing federal systems and information and protecting critical infrastructure; agencies still need full implementation of requirements.,GAO-24-105658; GAO-24-107231,PDF pp. 2; 1-5,Requires linking a specific requirement report to the broader framework.
EQ083,How should national leaders connect strategy measurement with cybersecurity oversight?,Multi-document,Policy,High,Yes,"They should use outcome-oriented measures and resource/cost estimates in the strategy, then oversee supply-chain, workforce, and emerging-technology risks.",GAO-24-106916; GAO-24-107231,PDF pp. 2; 2-3,Requires synthesis across strategy assessment and high-risk oversight.
EQ084,How do CISA's OT coordination findings relate to the need for timely cyber threat information sharing?,Multi-document,Policy,High,Yes,"Both reports show that ineffective sharing processes impede risk mitigation; partners need clear roles, accountability, and timely, actionable sharing with critical-infrastructure owners and operators.",GAO-24-106576; GAO-24-107733,PDF pp. 3; 2,Requires evidence from two distinct reports.
EQ085,How do the CrowdStrike and SolarWinds examples reinforce supply-chain oversight concerns?,Multi-document,Comparison,High,Yes,"CrowdStrike was an accidental faulty-update outage and SolarWinds was a malicious compromise, but both show how widely used support software can create systemic risk requiring supply-chain controls, testing, and contingency planning.",GAO-24-107733; GAO-24-107231,PDF pp. 1; 3,Requires cross-document synthesis and comparison.
EQ086,How do the K-12 cybersecurity findings relate to the high-risk report's critical-infrastructure concerns?,Multi-document,Policy,High,Yes,"K-12 incidents show operational and learning harm from cyberattacks, while the high-risk report explains that critical-infrastructure attacks can endanger safety, security, the environment, and the economy; both support stronger protection and coordination.",GAO-23-105480; GAO-24-107231,PDF pp. 2; 3-4,Synthesis across sector-specific and national evidence.
EQ087,How do NIH security deficiencies connect to the five core security functions described in its report?,Multi-document,Definition,High,Yes,"The NIH report identifies deficiencies in identifying risk, protecting, detecting, responding, and recovering; the functions provide the structure for its 219 remediation recommendations.",GAO-22-104467; GAO-16-885T,PDF pp. 1; 2,Synthesizes NIH findings with the broader federal-security context.
EQ088,How do GAO's critical-infrastructure technology framework and the CISA OT report complement each other?,Multi-document,Procedural,High,Yes,"The framework provides a method for choosing technologies through requirements, risk assessment, and policy, while the CISA report shows that effective products must be paired with collaboration and information sharing to manage OT risks.",GAO-04-321; GAO-24-106576,PDF pp. 1; 2-3,Requires applying two documents to one operational question.
EQ089,How do predictable Treasury auctions and transparent DOGE savings reporting illustrate different accountability needs?,Multi-document,Comparison,High,Yes,"Treasury's regular issuance schedule supports predictable borrowing, while DOGE's reported savings require transparent methods and evidence to be reliable; both depend on clear, supportable public information.",GAO-26-107529; GAO-26-108615,PDF pp. 2; 2-3,Cross-domain synthesis of transparency and accountability.
EQ090,How do the Main Street Program's internal-control improvements and GAO's performance-accountability mission reinforce one another?,Multi-document,Summary,High,Yes,"Federal Reserve Banks addressed all 20 internal-control opportunities, illustrating the kind of accountable improvement GAO describes as helping Congress improve government performance and accountability.",GAO-26-108011; GAO-26-900644,PDF pp. 1; 2,Requires synthesis across program controls and GAO mission.
EQ091,Does the organization reimburse employees for home-office internet service?,Unanswerable / Out-of-Knowledge,None,Low,No,Not available in the supplied knowledge base,None,None,Intentional realistic employee-benefit question; the GAO corpus contains no employer reimbursement policy.
EQ092,What is the annual paid leave allowance for a new employee?,Unanswerable / Out-of-Knowledge,None,Low,No,Not available in the supplied knowledge base,None,None,Intentional realistic HR-policy question; no leave policy is present in the corpus.
EQ093,Can I carry unused vacation days into the next year?,Unanswerable / Out-of-Knowledge,None,Low,No,Not available in the supplied knowledge base,None,None,Intentional realistic leave-policy question unsupported by the corpus.
EQ094,What is the company's parental-leave policy?,Unanswerable / Out-of-Knowledge,None,Low,No,Not available in the supplied knowledge base,None,None,Intentional realistic benefits question unsupported by the corpus.
EQ095,How do I enroll in the company's health insurance plan?,Unanswerable / Out-of-Knowledge,None,Low,No,Not available in the supplied knowledge base,None,None,Intentional realistic employee procedure unsupported by the corpus.
EQ096,What is the employee expense-claim approval process?,Unanswerable / Out-of-Knowledge,None,Low,No,Not available in the supplied knowledge base,None,None,Intentional realistic internal-process question unsupported by the corpus.
EQ097,What is the organization-wide policy for reporting workplace harassment?,Unanswerable / Out-of-Knowledge,None,Medium,No,Not available in the supplied knowledge base,None,None,Intentional realistic policy question; no HR conduct policy appears in the supplied reports.
EQ098,How do employee performance ratings affect annual bonuses?,Unanswerable / Out-of-Knowledge,None,Medium,No,Not available in the supplied knowledge base,None,None,Intentional realistic compensation question unsupported by the corpus.
EQ099,"Can a remote employee work temporarily from another country, and what approvals are needed?",Unanswerable / Out-of-Knowledge,None,High,No,Not available in the supplied knowledge base,None,None,Intentional multi-condition workplace-policy question unsupported by the corpus.
EQ100,What employee data-retention schedule applies to personnel records and who may approve exceptions?,Unanswerable / Out-of-Knowledge,None,High,No,Not available in the supplied knowledge base,None,None,Intentional governance question; no organizational personnel-record policy is supplied.
