ID,Question,Primary_Category,Secondary_Category,Complexity,Answerable,Reference_Answer,Source_Document,Source_Page,K,Prompt_Tokens,Generated_Tokens,Total_Tokens,Retrieval_Time_Seconds,Generation_Time_Seconds,Model,Timestamp
EQ036,What policy approach should agencies use for cybersecurity technologies protecting critical infrastructure?,Policy,,Medium,Yes,"They should use a cybersecurity framework that determines security requirements, performs risk assessments, establishes policy, and selects appropriate technologies.",GAO-04-321,PDF p. 1,9,0,0,0,0.0193462420002106,0.0,Qwen/Qwen3-8B,2026-08-28 10:28:13
EQ036,What policy approach should agencies use for cybersecurity technologies protecting critical infrastructure?,Policy,,Medium,Yes,"They should use a cybersecurity framework that determines security requirements, performs risk assessments, establishes policy, and selects appropriate technologies.",GAO-04-321,PDF p. 1,10,0,0,0,0.0193462420002106,0.0,Qwen/Qwen3-8B,2026-08-28 10:28:13
EQ044,What steps should an agency take to strengthen a risk-based information-security program?,Procedural,Policy,Medium,Yes,Identify threats; securely configure assets; patch vulnerable systems or replace unsupported software; and comprehensively test and evaluate security controls.,GAO-16-885T,PDF p. 2,10,0,0,0,0.0142060569996829,0.0,Qwen/Qwen3-8B,2026-08-28 10:54:50
EQ045,How should an organization select cybersecurity technologies for critical-infrastructure protection?,Procedural,Policy,Medium,Yes,"Determine security business requirements, perform risk assessments, establish a security policy, and use the framework to select technologies.",GAO-04-321,PDF p. 1,9,0,0,0,0.0135226060010609,0.0,Qwen/Qwen3-8B,2026-08-28 10:56:47
EQ045,How should an organization select cybersecurity technologies for critical-infrastructure protection?,Procedural,Policy,Medium,Yes,"Determine security business requirements, perform risk assessments, establish a security policy, and use the framework to select technologies.",GAO-04-321,PDF p. 1,10,0,0,0,0.0135226060010609,0.0,Qwen/Qwen3-8B,2026-08-28 10:56:47
EQ050,"How should an oversight team review reported savings from terminated contracts, grants, and leases?",Procedural,Policy,Medium,Yes,"Check the calculation method, supporting evidence, data-quality limitations, and whether reported savings are overstated or unverifiable.",GAO-26-108615,PDF pp. 2-3,9,0,0,0,0.024469415000567,0.0,Qwen/Qwen3-8B,2026-08-28 11:14:12
EQ050,"How should an oversight team review reported savings from terminated contracts, grants, and leases?",Procedural,Policy,Medium,Yes,"Check the calculation method, supporting evidence, data-quality limitations, and whether reported savings are overstated or unverifiable.",GAO-26-108615,PDF pp. 2-3,10,0,0,0,0.024469415000567,0.0,Qwen/Qwen3-8B,2026-08-28 11:14:13
EQ052,How should an agency prepare for a software-supply-chain disruption like the CrowdStrike outage?,Procedural,Policy,High,Yes,"Manage supply-chain risk, test updates and contingency plans, and establish timely information-sharing arrangements to detect, mitigate, and recover from disruption.",GAO-24-107733,PDF pp. 1-2,10,0,0,0,0.0140236309998726,0.0,Qwen/Qwen3-8B,2026-08-28 11:20:21
EQ055,How should a critical-infrastructure operator use CISA OT services while managing their limitations?,Procedural,Policy,High,Yes,"Use relevant CISA products and services, document negative experiences or disclosure delays, and coordinate with partners to improve information-sharing processes.",GAO-24-106576,PDF pp. 2-3,10,0,0,0,0.026180569000644,0.0,Qwen/Qwen3-8B,2026-08-28 11:31:24
EQ061,Compare the operational impacts of a K-12 cyberattack on learning and recovery.,Comparison,,Medium,Yes,"Learning loss was reported as 3 days to 3 weeks, while recovery time was reported as 2 to 9 months.",GAO-23-105480,PDF p. 2,10,0,0,0,0.0143190130002039,0.0,Qwen/Qwen3-8B,2026-08-28 11:52:23
EQ063,Compare the reported repayment outcome of the Main Street Program with the internal-control improvements described by GAO.,Comparison,,Medium,Yes,"Seventy percent of loans had been repaid, while Federal Reserve Banks had processes addressing all 20 identified internal-control opportunities.",GAO-26-108011,PDF p. 1,9,0,0,0,0.0172419270002137,0.0,Qwen/Qwen3-8B,2026-08-28 11:59:34
EQ063,Compare the reported repayment outcome of the Main Street Program with the internal-control improvements described by GAO.,Comparison,,Medium,Yes,"Seventy percent of loans had been repaid, while Federal Reserve Banks had processes addressing all 20 identified internal-control opportunities.",GAO-26-108011,PDF p. 1,10,0,0,0,0.0172419270002137,0.0,Qwen/Qwen3-8B,2026-08-28 11:59:34
EQ066,Compare CISA's positive OT service experiences with the limitations reported by users.,Comparison,,High,Yes,"Most selected entities reported positive experiences, but some reported negative experiences and vulnerability disclosures that could take more than a year; agencies also cited coordination barriers.",GAO-24-106576,PDF pp. 2-3,10,0,0,0,0.0207407500001863,0.0,Qwen/Qwen3-8B,2026-08-28 12:12:22
EQ068,Compare federal-system security challenges with critical-infrastructure cybersecurity challenges in GAO's high-risk framework.,Comparison,,High,Yes,"Federal-system challenges concern securing systems and information; critical-infrastructure challenges concern protecting sector systems, including OT, where failures can harm safety, national security, the environment, and the economy.",GAO-24-107231,PDF pp. 2-4,8,0,0,0,0.0152155499999935,0.0,Qwen/Qwen3-8B,2026-08-28 12:19:18
EQ068,Compare federal-system security challenges with critical-infrastructure cybersecurity challenges in GAO's high-risk framework.,Comparison,,High,Yes,"Federal-system challenges concern securing systems and information; critical-infrastructure challenges concern protecting sector systems, including OT, where failures can harm safety, national security, the environment, and the economy.",GAO-24-107231,PDF pp. 2-4,9,0,0,0,0.0152155499999935,0.0,Qwen/Qwen3-8B,2026-08-28 12:19:18
EQ068,Compare federal-system security challenges with critical-infrastructure cybersecurity challenges in GAO's high-risk framework.,Comparison,,High,Yes,"Federal-system challenges concern securing systems and information; critical-infrastructure challenges concern protecting sector systems, including OT, where failures can harm safety, national security, the environment, and the economy.",GAO-24-107231,PDF pp. 2-4,10,0,0,0,0.0152155499999935,0.0,Qwen/Qwen3-8B,2026-08-28 12:19:18
EQ069,"Compare the transparency problems in DOGE's contract, grant, and lease savings estimates.",Comparison,,High,Yes,"For contracts, DOGE often did not use its stated method; for grants, 96 percent of reported savings lacked enough information for verification; for leases, the calculation explanation was absent and savings were overstated by more than $80 million.",GAO-26-108615,PDF pp. 2-3,9,0,0,0,0.0237624860001233,0.0,Qwen/Qwen3-8B,2026-08-28 12:23:23
EQ069,"Compare the transparency problems in DOGE's contract, grant, and lease savings estimates.",Comparison,,High,Yes,"For contracts, DOGE often did not use its stated method; for grants, 96 percent of reported savings lacked enough information for verification; for leases, the calculation explanation was absent and savings were overstated by more than $80 million.",GAO-26-108615,PDF pp. 2-3,10,0,0,0,0.0237624860001233,0.0,Qwen/Qwen3-8B,2026-08-28 12:23:30
EQ077,Summarize the information-security challenges described in GAO's 2016 testimony.,Summary,,High,Yes,"Cyber incidents had risen sharply, and agencies needed more effective risk-based programs, secure configuration, patching, replacement of unsupported software, and comprehensive testing and evaluation.",GAO-16-885T,PDF p. 2,10,0,0,0,0.0165801699999974,0.0,Qwen/Qwen3-8B,2026-08-28 15:44:03
EQ080,Summarize GAO's concerns about DOGE's Wall of Receipts savings figures.,Summary,,High,Yes,"Reported savings lacked transparent methods and evidence; contract methodology was often not followed, most grant savings were unverifiable, and lease savings were overstated by more than $80 million.",GAO-26-108615,PDF pp. 2-3,9,0,0,0,0.0156395060002978,0.0,Qwen/Qwen3-8B,2026-08-28 15:56:31
EQ080,Summarize GAO's concerns about DOGE's Wall of Receipts savings figures.,Summary,,High,Yes,"Reported savings lacked transparent methods and evidence; contract methodology was often not followed, most grant savings were unverifiable, and lease savings were overstated by more than $80 million.",GAO-26-108615,PDF pp. 2-3,10,0,0,0,0.0156395060002978,0.0,Qwen/Qwen3-8B,2026-08-28 15:56:32
EQ084,How do CISA's OT coordination findings relate to the need for timely cyber threat information sharing?,Multi-document,Policy,High,Yes,"Both reports show that ineffective sharing processes impede risk mitigation; partners need clear roles, accountability, and timely, actionable sharing with critical-infrastructure owners and operators.",GAO-24-106576; GAO-24-107733,PDF pp. 3; 2,10,0,0,0,0.0136015769999175,0.0,Qwen/Qwen3-8B,2026-08-28 16:09:59
EQ085,How do the CrowdStrike and SolarWinds examples reinforce supply-chain oversight concerns?,Multi-document,Comparison,High,Yes,"CrowdStrike was an accidental faulty-update outage and SolarWinds was a malicious compromise, but both show how widely used support software can create systemic risk requiring supply-chain controls, testing, and contingency planning.",GAO-24-107733; GAO-24-107231,PDF pp. 1; 3,10,0,0,0,0.0397284879995822,0.0,Qwen/Qwen3-8B,2026-08-28 16:13:23
EQ086,How do the K-12 cybersecurity findings relate to the high-risk report's critical-infrastructure concerns?,Multi-document,Policy,High,Yes,"K-12 incidents show operational and learning harm from cyberattacks, while the high-risk report explains that critical-infrastructure attacks can endanger safety, security, the environment, and the economy; both support stronger protection and coordination.",GAO-23-105480; GAO-24-107231,PDF pp. 2; 3-4,10,0,0,0,0.3932028829999581,0.0,Qwen/Qwen3-8B,2026-08-28 16:16:28
EQ090,How do the Main Street Program's internal-control improvements and GAO's performance-accountability mission reinforce one another?,Multi-document,Summary,High,Yes,"Federal Reserve Banks addressed all 20 internal-control opportunities, illustrating the kind of accountable improvement GAO describes as helping Congress improve government performance and accountability.",GAO-26-108011; GAO-26-900644,PDF pp. 1; 2,10,0,0,0,0.0287690560007831,0.0,Qwen/Qwen3-8B,2026-08-28 16:30:43
EQ092,What is the annual paid leave allowance for a new employee?,Unanswerable / Out-of-Knowledge,,Low,No,Not available in the supplied knowledge base,,,10,0,0,0,0.0219807079993188,0.0,Qwen/Qwen3-8B,2026-08-28 16:33:11
EQ095,How do I enroll in the company's health insurance plan?,Unanswerable / Out-of-Knowledge,,Low,No,Not available in the supplied knowledge base,,,10,0,0,0,0.0142544450000059,0.0,Qwen/Qwen3-8B,2026-08-28 16:36:47
EQ096,What is the employee expense-claim approval process?,Unanswerable / Out-of-Knowledge,,Low,No,Not available in the supplied knowledge base,,,10,0,0,0,0.0381950850005523,0.0,Qwen/Qwen3-8B,2026-08-28 16:38:11
EQ098,How do employee performance ratings affect annual bonuses?,Unanswerable / Out-of-Knowledge,,Medium,No,Not available in the supplied knowledge base,,,9,0,0,0,0.0205989589994715,0.0,Qwen/Qwen3-8B,2026-08-28 16:40:35
EQ098,How do employee performance ratings affect annual bonuses?,Unanswerable / Out-of-Knowledge,,Medium,No,Not available in the supplied knowledge base,,,10,0,0,0,0.0205989589994715,0.0,Qwen/Qwen3-8B,2026-08-28 16:40:36
EQ100,What employee data-retention schedule applies to personnel records and who may approve exceptions?,Unanswerable / Out-of-Knowledge,,High,No,Not available in the supplied knowledge base,,,10,0,0,0,0.019048025000302,0.0,Qwen/Qwen3-8B,2026-08-28 16:43:30
