ID,Candidate_Optimal_K,Complexity,Primary_Category,Secondary_Category,Answerable,query,query_length,word_count,unique_word_count,average_word_length,entity_count,question_count,question_mark_indicator,number_indicator,uppercase_token_count,starts_with_what,starts_with_why,starts_with_how,starts_with_when,starts_with_where,starts_with_who,starts_with_which,intent,complexity,is_comparison,is_procedural,is_policy,is_summary,is_definition,is_multi_hop,requires_multiple_sources,expected_evidence_breadth,candidate_k_band,available_k,best_k,quality_range,non_decreasing,candidate_k
EQ011,2,Medium,Factual,,Yes,What was GAO's reported financial benefit from its work in fiscal year 2024?,76,14,14,4.428571428571429,2,1,True,True,1,True,False,False,False,False,False,False,general,low,False,False,False,False,False,False,False,low,K1-3,7,4,0.4150817248953006,False,2
EQ012,2,Medium,Factual,,Yes,How many Treasury auctions were held in fiscal year 2025?,57,10,10,4.7,2,1,True,True,0,False,False,True,False,False,False,False,procedural,low,False,True,False,False,False,False,False,low,K1-3,10,2,0.6059970893590759,False,2
EQ013,1,Medium,Factual,,Yes,How much did Treasury borrow for government operations in fiscal year 2025?,75,12,12,5.25,2,1,True,True,0,False,False,True,False,False,False,False,procedural,low,False,True,False,False,False,False,False,low,K1-3,9,1,0.06181970012117266,False,1
EQ014,8,Medium,Factual,,Yes,How far behind schedule was the Navy's modernization of the three Zumwalt-class destroyers?,91,15,14,5.066666666666666,3,1,True,False,0,False,False,True,False,False,False,False,procedural,medium,False,True,False,False,False,False,True,high,K7-10,10,8,0.06186329388801004,False,8
EQ015,9,High,Factual,,Yes,What percentage of Main Street Program loans had been fully repaid as of January 2026?,86,15,14,4.733333333333333,5,1,True,True,0,True,False,False,False,False,False,False,general,medium,False,False,False,False,False,False,True,high,K7-10,10,9,0.44586740965425364,False,9
EQ016,8,Low,Definition,,Yes,What does operational technology mean in the cybersecurity reports?,67,9,9,6.444444444444445,1,1,True,False,0,True,False,False,False,False,False,False,general,low,False,False,False,False,False,False,False,low,K7-10,10,10,0.36674341561448776,False,8
EQ017,3,Low,Definition,,Yes,What is endpoint detection and response in the context of the incident-response report?,87,14,12,5.214285714285714,1,1,True,False,0,True,False,False,False,False,False,False,definition,low,False,False,False,False,True,False,False,low,K1-3,10,8,0.155544966200022,False,3
EQ018,8,Low,Definition,,Yes,What does cyber resiliency mean in the CrowdStrike outage snapshot?,67,10,10,5.7,2,1,True,False,0,True,False,False,False,False,False,False,general,low,False,False,False,False,False,False,False,low,K7-10,10,8,0.1427351410198497,False,8
EQ019,8,Low,Definition,,Yes,What is meant by an outcome-oriented performance measure in the national strategy discussion?,93,14,14,5.642857142857143,1,1,True,False,0,True,False,False,False,False,False,False,definition,low,False,False,False,False,True,False,False,low,K7-10,10,9,0.14465312537156166,False,8
EQ020,7,Low,Definition,,Yes,What is a CFO Act agency in the incident-response report?,57,11,11,4.181818181818182,3,1,True,False,1,True,False,False,False,False,False,False,definition,low,False,False,False,False,True,False,True,high,K7-10,10,7,0.032866039986712114,False,7
EQ021,4,Low,Definition,,Yes,What is a critical-infrastructure operational technology system?,64,8,8,7.0,1,1,True,False,0,True,False,False,False,False,False,False,definition,low,False,False,False,False,True,False,False,low,K4-6,10,4,0.4210548991362217,False,4
EQ022,3,Low,Definition,,Yes,What does supply chain risk management mean in the CrowdStrike outage context?,78,12,12,5.5,2,1,True,False,0,True,False,False,False,False,False,False,general,low,False,False,False,False,False,False,False,low,K1-3,9,6,0.15866376093514495,False,3
EQ023,8,Low,Definition,,Yes,What is the Wall of Receipts?,29,6,6,3.8333333333333335,3,1,True,False,0,True,False,False,False,False,False,False,definition,low,False,False,False,False,True,False,True,high,K7-10,10,10,0.4330584278743796,False,8
EQ024,1,Low,Definition,,Yes,What is the Main Street Lending Program intended to serve?,58,10,10,4.8,5,1,True,False,0,True,False,False,False,False,False,False,definition,medium,False,False,False,False,True,False,True,high,K1-3,10,1,0.0,True,1
EQ025,8,Medium,Definition,,Yes,What does GAO mean by a comprehensive cybersecurity strategy?,61,9,9,5.777777777777778,2,1,True,False,1,True,False,False,False,False,False,False,general,low,False,False,False,False,False,False,False,low,K7-10,10,10,0.14993614212546208,False,8
EQ026,9,Low,Policy,,Yes,What is the policy expectation for using CISA's playbook in incident response?,78,13,13,5.0,2,1,True,False,1,True,False,False,False,False,False,False,policy,low,False,False,True,False,True,False,False,low,K7-10,10,9,0.32618429304604357,False,9
EQ027,10,Low,Policy,,Yes,What is the policy concern with agencies' event logging implementation?,71,10,10,6.0,1,1,True,False,0,True,False,False,False,False,False,False,procedural,low,False,True,True,False,True,False,False,low,K7-10,10,10,0.25574541389983474,False,10
EQ028,9,Low,Policy,,Yes,What is GAO's recommendation for State Department contingency plans affecting national security?,96,13,13,6.384615384615385,4,1,True,False,1,True,False,False,False,False,False,False,definition,medium,False,False,False,False,True,False,True,high,K7-10,10,9,0.24,False,9
EQ029,3,Low,Policy,,Yes,What policy role does the National Infrastructure Protection Plan assign for K-12 cybersecurity?,96,14,14,5.857142857142857,6,1,True,True,0,True,False,False,False,False,False,False,policy,medium,False,False,True,False,False,False,True,high,K1-3,9,3,0.07901379300048927,False,3
EQ030,2,Low,Policy,,Yes,What policy concern did GAO identify about transparency of DOGE contract savings?,81,12,12,5.75,3,1,True,False,2,True,False,False,False,False,False,False,policy,low,False,False,True,False,False,False,True,high,K1-3,10,6,0.10012373456128121,False,2
EQ031,2,Low,Policy,,Yes,What are agencies expected to improve in risk-based information security programs?,82,12,12,5.833333333333333,1,1,True,False,0,True,False,False,False,False,False,False,definition,low,False,False,False,False,True,False,False,low,K1-3,10,2,0.24686392258667042,False,2
EQ032,6,Medium,Policy,,Yes,What policy issue did GAO identify for sharing cyber threat information with critical infrastructure?,101,14,14,6.214285714285714,2,1,True,False,1,True,False,False,False,False,False,False,policy,low,False,False,True,False,False,False,False,low,K4-6,10,7,0.28951053901879975,False,6
EQ033,10,Medium,Policy,,Yes,What policy gaps remained in the National Cybersecurity Strategy and implementation plan?,89,12,12,6.416666666666667,4,1,True,False,0,True,False,False,False,False,False,False,procedural,medium,False,True,True,False,False,False,True,high,K7-10,10,10,0.3165760548363898,False,10
EQ034,7,Medium,Policy,,Yes,What policy issue did GAO find in CISA's coordination on OT risks?,66,13,13,4.076923076923077,3,1,True,False,3,True,False,False,False,False,False,False,policy,low,False,False,True,False,False,False,True,high,K7-10,10,10,0.21430909699095657,False,7
EQ035,2,Medium,Policy,,Yes,What policy issue did GAO identify with the security of NIH's information systems?,82,14,14,4.857142857142857,3,1,True,False,2,True,False,False,False,False,False,False,policy,low,False,False,True,False,False,False,True,high,K1-3,9,2,0.46227508326366373,False,2
EQ036,2,Medium,Policy,,Yes,What policy approach should agencies use for cybersecurity technologies protecting critical infrastructure?,107,12,12,7.916666666666667,1,1,True,False,0,True,False,False,False,False,False,False,policy,low,False,False,True,False,False,False,False,low,K1-3,8,4,0.0846280777066562,False,2
EQ037,4,Medium,Policy,,Yes,What policy issue did GAO identify with the Navy's hypersonic modernization strategy?,85,13,13,5.538461538461538,3,1,True,False,1,True,False,False,False,False,False,False,policy,low,False,False,True,False,False,False,True,high,K4-6,10,10,0.4008349287489711,False,4
EQ038,10,High,Policy,,Yes,What policy safeguards are relevant when an organization deploys a widely used security update?,95,14,14,5.785714285714286,1,1,True,False,0,True,False,False,False,False,False,False,policy,low,False,False,True,False,False,False,False,low,K7-10,10,10,0.3671837904690676,False,10
EQ039,3,High,Policy,,Yes,"How should agencies prioritize cybersecurity oversight across strategy, systems, infrastructure, and privacy?",109,12,12,7.833333333333333,1,1,True,False,0,False,False,True,False,False,False,False,procedural,low,False,True,False,False,False,False,False,low,K1-3,10,10,0.3502968075523754,False,3
EQ040,3,High,Policy,,Yes,What policy response follows when a national strategy lacks outcome measures and resource estimates?,100,14,14,6.142857142857143,1,1,True,False,0,True,False,False,False,False,False,False,policy,low,False,False,True,False,False,False,False,low,K1-3,10,3,0.224662194295993,False,3
EQ041,9,Low,Procedural,Policy,Yes,How should a K-12 organization prepare for a cyber incident according to the supplied reports?,94,16,15,4.875,2,1,True,True,0,False,False,True,False,False,False,False,procedural,medium,False,True,False,False,False,True,True,high,K7-10,10,9,0.32057211182346196,False,9
EQ042,3,Low,Procedural,Policy,Yes,How should an agency begin planning cyber vulnerability and incident-response activities?,89,12,12,6.416666666666667,1,1,True,False,0,False,False,True,False,False,False,False,procedural,low,False,True,False,False,False,False,False,low,K1-3,10,9,0.2629171601183273,False,3
EQ043,7,Low,Procedural,,Yes,How should an agency improve its ability to recover from a service disruption?,78,13,13,5.0,1,1,True,False,0,False,False,True,False,False,False,False,procedural,low,False,True,False,False,False,False,False,low,K7-10,10,10,0.395712775687258,True,7
EQ044,8,Medium,Procedural,Policy,Yes,What steps should an agency take to strengthen a risk-based information-security program?,89,14,14,5.357142857142857,1,1,True,False,0,True,False,False,False,False,False,False,procedural,low,False,True,False,False,False,False,False,low,K7-10,9,8,0.3394332051798141,False,8
EQ045,5,Medium,Procedural,Policy,Yes,How should an organization select cybersecurity technologies for critical-infrastructure protection?,100,11,11,8.090909090909092,1,1,True,False,0,False,False,True,False,False,False,False,procedural,low,False,True,False,False,False,False,False,low,K4-6,8,7,0.2556022814041997,False,5
EQ046,3,Medium,Procedural,Policy,Yes,How should CISA and partner agencies improve collaboration on OT cybersecurity risks?,85,12,12,6.083333333333333,2,1,True,False,2,False,False,True,False,False,False,False,procedural,low,False,True,False,False,False,False,False,low,K1-3,10,3,0.4265089595684351,False,3
EQ047,6,Medium,Procedural,Policy,Yes,How should a federal agency make its cyber threat information sharing more useful?,82,13,13,5.3076923076923075,1,1,True,False,0,False,False,True,False,False,False,False,procedural,low,False,True,False,False,False,False,False,low,K4-6,10,10,0.3846515914242705,False,6
EQ048,9,Medium,Procedural,,Yes,"How should an agency structure incident-response readiness around people, tools, and outside support?",101,14,14,6.071428571428571,1,1,True,False,0,False,False,True,False,False,False,False,procedural,low,False,True,False,False,False,False,False,low,K7-10,10,9,0.5868190427063991,False,9
EQ049,4,Medium,Procedural,,Yes,How should a team measure progress on a national cybersecurity initiative?,74,11,10,5.7272727272727275,1,1,True,False,0,False,False,True,False,False,False,False,procedural,low,False,True,False,False,False,False,False,low,K4-6,10,6,0.2719623188057601,False,4
EQ050,6,Medium,Procedural,Policy,Yes,"How should an oversight team review reported savings from terminated contracts, grants, and leases?",99,14,14,5.928571428571429,1,1,True,False,0,False,False,True,False,False,False,False,procedural,low,False,True,False,False,False,False,False,low,K4-6,8,8,0.23479582276646932,False,6
EQ051,4,High,Procedural,Policy,Yes,How should the Navy address its delayed hypersonic capability effort?,69,10,10,5.9,2,1,True,False,0,False,False,True,False,False,False,False,procedural,low,False,True,False,False,False,False,False,low,K4-6,10,5,0.4908770973370875,False,4
EQ052,9,High,Procedural,Policy,Yes,How should an agency prepare for a software-supply-chain disruption like the CrowdStrike outage?,96,15,15,5.4,2,1,True,False,0,False,False,True,False,False,False,False,procedural,low,False,True,False,False,False,False,False,low,K7-10,9,9,0.126351590967056,False,9
EQ053,10,High,Procedural,Policy,Yes,How should federal leaders close gaps in a national cybersecurity strategy?,75,11,11,5.818181818181818,1,1,True,False,0,False,False,True,False,False,False,False,procedural,low,False,True,False,False,False,False,False,low,K7-10,10,10,0.28652574288908306,False,10
EQ054,8,High,Procedural,Policy,Yes,How should a cybersecurity program address deficiencies across the five core security functions?,96,13,13,6.384615384615385,1,1,True,False,0,False,False,True,False,False,False,False,procedural,low,False,True,False,False,False,False,False,low,K7-10,10,10,0.36529322019061516,False,8
EQ055,7,High,Procedural,Policy,Yes,How should a critical-infrastructure operator use CISA OT services while managing their limitations?,100,14,14,6.142857142857143,2,1,True,False,2,False,False,True,False,False,False,False,procedural,low,False,True,False,False,False,False,False,low,K7-10,9,8,0.22198430357799662,False,7
EQ056,9,Low,Comparison,,Yes,How does operational technology differ from ordinary information technology in the supplied cybersecurity material?,115,14,13,7.214285714285714,1,1,True,False,0,False,False,True,False,False,False,False,procedural,low,False,True,False,False,False,True,True,high,K7-10,10,9,0.4063174091407188,False,9
EQ057,1,Low,Comparison,,Yes,How does the CrowdStrike outage differ from the SolarWinds attack?,66,10,9,5.6,3,1,True,False,0,False,False,True,False,False,False,False,procedural,medium,False,True,False,False,False,True,True,high,K1-3,10,9,0.013319348119024799,False,1
EQ058,8,Medium,Comparison,,Yes,"Compare the incident-response support roles of tools, services, and resources.",78,11,11,5.909090909090909,1,0,False,False,0,False,False,False,False,False,False,False,comparison,medium,True,False,False,False,False,True,True,high,K7-10,10,10,0.16363429081772762,False,8
EQ059,9,Medium,Comparison,,Yes,Compare the two incomplete national-strategy characteristics identified by GAO.,79,10,10,6.9,2,0,False,False,1,False,False,False,False,False,False,False,comparison,medium,True,False,False,False,False,True,True,high,K7-10,10,9,0.22055869929219346,False,9
EQ060,9,Medium,Comparison,,Yes,Compare the two main OT coordination challenges identified by selected agencies.,80,11,11,6.2727272727272725,1,0,False,False,1,False,False,False,False,False,False,False,comparison,medium,True,False,False,False,False,True,True,high,K7-10,10,10,0.4363054222902221,False,9
EQ061,3,Medium,Comparison,,Yes,Compare the operational impacts of a K-12 cyberattack on learning and recovery.,79,13,13,5.076923076923077,2,0,False,True,0,False,False,False,False,False,False,False,comparison,medium,True,False,False,False,False,True,True,high,K1-3,9,5,0.03534837805405111,False,3
EQ062,9,Medium,Comparison,,Yes,How do the cybersecurity findings for NIH and federal agencies generally compare?,81,12,12,5.75,2,1,True,False,1,False,False,True,False,False,False,False,comparison,medium,True,True,False,False,False,True,True,high,K7-10,10,9,0.2898837836548415,False,9
EQ063,4,Medium,Comparison,,Yes,Compare the reported repayment outcome of the Main Street Program with the internal-control improvements described by GAO.,122,18,16,5.777777777777778,5,0,False,False,1,False,False,False,False,False,False,False,comparison,high,True,False,False,False,False,True,True,high,K4-6,8,4,0.5199839923051355,False,4
EQ064,9,Medium,Comparison,,Yes,Compare Treasury's borrowing approach with the fiscal risk noted in the debt-management report.,95,15,14,5.333333333333333,2,0,False,False,0,False,False,False,False,False,False,False,comparison,high,True,False,False,False,False,True,True,high,K7-10,10,9,0.40479551464186425,False,9
EQ065,8,Medium,Comparison,,Yes,Compare the types of cybersecurity technologies available for critical-infrastructure protection with the implementation gap identified by GAO.,143,18,17,6.944444444444445,2,0,False,False,1,False,False,False,False,False,False,False,comparison,high,True,True,False,False,False,True,True,high,K7-10,10,8,0.04551873557835451,False,8
EQ066,8,High,Comparison,,Yes,Compare CISA's positive OT service experiences with the limitations reported by users.,86,13,13,5.615384615384615,2,0,False,False,2,False,False,False,False,False,False,False,comparison,medium,True,False,False,False,False,True,True,high,K7-10,9,9,0.4398764789013312,True,8
EQ067,6,High,Comparison,,Yes,Compare the cybersecurity governance gaps in the National Cybersecurity Strategy with the gaps revealed by the CrowdStrike outage.,130,18,13,6.222222222222222,5,0,False,False,0,False,False,False,False,False,False,False,comparison,high,True,False,False,False,False,True,True,high,K4-6,10,6,0.26948495777366954,False,6
EQ068,5,High,Comparison,,Yes,Compare federal-system security challenges with critical-infrastructure cybersecurity challenges in GAO's high-risk framework.,126,16,15,6.875,2,0,False,False,1,False,False,False,False,False,False,False,comparison,high,True,False,False,False,False,True,True,high,K4-6,7,7,0.24893110575188326,False,5
EQ069,3,High,Comparison,,Yes,"Compare the transparency problems in DOGE's contract, grant, and lease savings estimates.",89,13,13,5.6923076923076925,2,0,False,False,1,False,False,False,False,False,False,False,comparison,medium,True,False,False,False,False,True,True,high,K1-3,8,8,0.432086031375948,False,3
EQ070,2,High,Comparison,,Yes,Compare the Navy's DDG 1000 modernization schedule challenge with its missile-production challenge.,99,14,13,6.071428571428571,3,0,False,True,1,False,False,False,False,False,False,False,comparison,medium,True,False,False,False,False,True,True,high,K1-3,10,8,0.3166249704781933,False,2
EQ071,8,Low,Summary,,Yes,Summarize the main incident-response preparedness finding for federal agencies.,79,10,10,6.9,1,0,False,False,0,False,False,False,False,False,False,False,summary,low,False,False,False,True,False,False,False,low,K7-10,10,8,0.2605918331475137,False,8
EQ072,10,Medium,Summary,,Yes,Summarize the main cybersecurity finding for K-12 schools.,58,9,9,5.444444444444445,2,0,False,True,0,False,False,False,False,False,False,False,summary,low,False,False,False,True,False,False,False,low,K7-10,10,10,0.2595570590678681,False,10
EQ073,10,Medium,Summary,,Yes,Summarize GAO's assessment of the National Cybersecurity Strategy and its implementation plan.,94,13,13,6.230769230769231,5,0,False,False,1,False,False,False,False,False,False,False,procedural,medium,False,True,False,True,False,False,True,high,K7-10,10,10,0.2553026235438396,False,10
EQ074,1,Medium,Summary,,Yes,Summarize the cybersecurity lessons of the CrowdStrike outage.,62,8,7,6.75,2,0,False,False,0,False,False,False,False,False,False,False,summary,low,False,False,False,True,False,False,False,low,K1-3,10,1,0.04488786207925155,False,1
EQ075,7,High,Summary,,Yes,Summarize GAO's high-risk cybersecurity framework and current concern.,70,10,10,6.0,2,0,False,False,1,False,False,False,False,False,False,False,summary,low,False,False,False,True,False,False,False,low,K7-10,10,8,0.4076155410154241,False,7
EQ076,10,High,Summary,,Yes,"Summarize the main findings on CISA's OT cybersecurity products, services, and coordination.",92,13,13,5.923076923076923,2,0,False,False,2,False,False,False,False,False,False,False,summary,low,False,False,False,True,False,False,False,low,K7-10,10,10,0.2743393400274386,False,10
EQ077,7,High,Summary,,Yes,Summarize the information-security challenges described in GAO's 2016 testimony.,80,11,11,6.2727272727272725,2,0,False,True,1,False,False,False,False,False,False,False,summary,low,False,False,False,True,False,False,False,low,K7-10,9,8,0.10295035803725311,False,7
EQ078,9,High,Summary,,Yes,Summarize the key findings on Treasury debt management and fiscal risk.,71,11,11,5.454545454545454,2,0,False,False,0,False,False,False,False,False,False,False,summary,low,False,False,False,True,False,False,False,low,K7-10,10,10,0.4097986312827044,False,9
EQ079,6,High,Summary,,Yes,Summarize the Navy's hypersonic modernization findings.,55,7,7,6.857142857142857,2,0,False,False,0,False,False,False,False,False,False,False,summary,low,False,False,False,True,False,False,False,low,K4-6,10,9,0.42999418587249927,False,6
EQ080,8,High,Summary,,Yes,Summarize GAO's concerns about DOGE's Wall of Receipts savings figures.,71,12,11,4.916666666666667,5,0,False,False,2,False,False,False,False,False,False,False,summary,medium,False,False,False,True,False,False,True,high,K7-10,8,8,0.21629658809121663,False,8
EQ081,9,Medium,Multi-document,Procedural,Yes,How do CISA's incident-response playbook and the CrowdStrike findings work together to guide disruption preparedness?,117,17,17,5.882352941176471,3,1,True,False,1,False,False,True,False,False,False,False,procedural,medium,False,True,False,False,False,True,True,high,K7-10,10,9,0.13349024094177453,False,9
EQ082,10,Medium,Multi-document,Policy,Yes,How do federal incident-response requirements relate to the broader high-risk cybersecurity challenges?,103,14,14,6.357142857142857,1,1,True,False,0,False,False,True,False,False,False,False,procedural,low,False,True,True,False,False,True,True,high,K7-10,10,10,0.19147713184183773,False,10
EQ083,6,High,Multi-document,Policy,Yes,How should national leaders connect strategy measurement with cybersecurity oversight?,86,10,10,7.6,1,1,True,False,0,False,False,True,False,False,False,False,procedural,low,False,True,False,False,False,False,False,low,K4-6,10,8,0.326049248392525,False,6
EQ084,7,High,Multi-document,Policy,Yes,How do CISA's OT coordination findings relate to the need for timely cyber threat information sharing?,102,17,17,5.0,2,1,True,False,2,False,False,True,False,False,False,False,procedural,medium,False,True,False,False,False,True,True,high,K7-10,9,7,0.2735622063969305,False,7
EQ085,6,High,Multi-document,Comparison,Yes,How do the CrowdStrike and SolarWinds examples reinforce supply-chain oversight concerns?,89,12,12,6.416666666666667,3,1,True,False,0,False,False,True,False,False,False,False,procedural,medium,False,True,False,False,False,True,True,high,K4-6,9,8,0.35015467830783464,False,6
EQ086,9,High,Multi-document,Policy,Yes,How do the K-12 cybersecurity findings relate to the high-risk report's critical-infrastructure concerns?,105,17,16,5.176470588235294,2,1,True,True,0,False,False,True,False,False,False,False,procedural,medium,False,True,False,False,False,True,True,high,K7-10,9,9,0.309983368925915,False,9
EQ087,5,High,Multi-document,Definition,Yes,How do NIH security deficiencies connect to the five core security functions described in its report?,101,16,15,5.3125,2,1,True,False,1,False,False,True,False,False,False,False,procedural,medium,False,True,False,False,False,True,True,high,K4-6,10,8,0.34490762422626664,False,5
EQ088,10,High,Multi-document,Procedural,Yes,How do GAO's critical-infrastructure technology framework and the CISA OT report complement each other?,103,16,16,5.4375,3,1,True,False,3,False,False,True,False,False,False,False,procedural,medium,False,True,False,False,False,True,True,high,K7-10,10,10,0.32029427755051365,False,10
EQ089,7,High,Multi-document,Comparison,Yes,How do predictable Treasury auctions and transparent DOGE savings reporting illustrate different accountability needs?,118,14,14,7.428571428571429,3,1,True,False,1,False,False,True,False,False,False,False,procedural,medium,False,True,False,False,False,True,True,high,K7-10,10,9,0.325054206350576,False,7
EQ090,6,High,Multi-document,Summary,Yes,How do the Main Street Program's internal-control improvements and GAO's performance-accountability mission reinforce one another?,130,19,18,5.842105263157895,5,1,True,False,1,False,False,True,False,False,False,False,procedural,medium,False,True,False,False,False,True,True,high,K4-6,9,6,0.28349237530313814,True,6
EQ091,2,Low,Unanswerable / Out-of-Knowledge,,No,Does the organization reimburse employees for home-office internet service?,75,10,10,6.5,1,1,True,False,0,False,False,False,False,False,False,False,general,low,False,False,False,False,False,False,False,low,K1-3,10,5,0.23204809958012118,False,2
EQ092,7,Low,Unanswerable / Out-of-Knowledge,,No,What is the annual paid leave allowance for a new employee?,59,11,11,4.363636363636363,1,1,True,False,0,True,False,False,False,False,False,False,definition,low,False,False,False,False,True,False,False,low,K7-10,9,7,0.23810620968999,False,7
EQ093,10,Low,Unanswerable / Out-of-Knowledge,,No,Can I carry unused vacation days into the next year?,52,10,10,4.2,1,1,True,False,0,False,False,False,False,False,False,False,general,low,False,False,False,False,False,False,False,low,K7-10,10,10,0.2491940635069539,False,10
EQ094,3,Low,Unanswerable / Out-of-Knowledge,,No,What is the company's parental-leave policy?,44,8,8,4.5,1,1,True,False,0,True,False,False,False,False,False,False,policy,low,False,False,True,False,True,False,False,low,K1-3,10,3,0.1213599846068549,True,3
EQ095,7,Low,Unanswerable / Out-of-Knowledge,,No,How do I enroll in the company's health insurance plan?,55,11,11,4.0,1,1,True,False,0,False,False,True,False,False,False,False,procedural,low,False,True,False,False,False,True,True,high,K7-10,9,7,0.24020918833882704,False,7
EQ096,8,Low,Unanswerable / Out-of-Knowledge,,No,What is the employee expense-claim approval process?,52,8,8,5.5,1,1,True,False,0,True,False,False,False,False,False,False,procedural,low,False,True,False,False,True,False,False,low,K7-10,9,8,0.24,False,8
EQ097,1,Medium,Unanswerable / Out-of-Knowledge,,No,What is the organization-wide policy for reporting workplace harassment?,72,10,10,6.2,1,1,True,False,0,True,False,False,False,False,False,False,policy,low,False,False,True,False,True,False,False,low,K1-3,10,9,0.010221874232266698,True,1
EQ098,2,Medium,Unanswerable / Out-of-Knowledge,,No,How do employee performance ratings affect annual bonuses?,58,8,8,6.25,1,1,True,False,0,False,False,True,False,False,False,False,procedural,low,False,True,False,False,False,True,True,high,K1-3,8,2,0.24,True,2
EQ099,3,High,Unanswerable / Out-of-Knowledge,,No,"Can a remote employee work temporarily from another country, and what approvals are needed?",91,14,14,5.428571428571429,1,1,True,False,0,False,False,False,False,False,False,False,general,low,False,False,False,False,False,False,False,low,K1-3,10,10,0.24090706117933589,False,3
EQ100,7,High,Unanswerable / Out-of-Knowledge,,No,What employee data-retention schedule applies to personnel records and who may approve exceptions?,98,14,14,6.0,1,1,True,False,0,True,False,False,False,False,False,False,general,low,False,False,False,False,False,False,False,low,K7-10,9,7,0.2536461955711915,False,7
