ID,Question,Primary_Category,Secondary_Category,Complexity,Answerable,Candidate_Optimal_K,Best_K_Quality,Quality_Threshold,Candidate_Quality,Candidate_Evidence_Coverage,Candidate_Answer_Similarity,Candidate_Total_Tokens,Candidate_Latency,Maximum_Available_K,Maximum_K_Quality,Maximum_K_Tokens,Maximum_K_Latency,Estimated_Token_Savings,Estimated_Latency_Savings
EQ016,What does operational technology mean in the cybersecurity reports?,Definition,,Low,Yes,8,0.671352290407382,0.651352290407382,0.6600025390684949,0.9,0.30000634767123713,3199,19.17504402400027,10,0.671352290407382,3766,25.92843401800019,0.15055762081784385,0.2604627024258981
EQ017,What is endpoint detection and response in the context of the incident-response report?,Definition,,Low,Yes,3,0.603654185226717,0.583654185226717,0.5968042436367251,0.875,0.1795106090918129,1191,10.164556937999805,10,0.6004686020832323,3621,27.194240427000295,0.6710853355426678,0.6262239070333533
EQ018,What does cyber resiliency mean in the CrowdStrike outage snapshot?,Definition,,Low,Yes,8,0.3068493093952267,0.2868493093952267,0.3068493093952267,0.36363636363636365,0.22166872803352136,3700,23.409442297999703,10,0.2890716425078586,4356,29.673638118999406,0.15059687786960518,0.21110306042954907
EQ019,What is meant by an outcome-oriented performance measure in the national strategy discussion?,Definition,,Low,Yes,8,0.5102592455733955,0.4902592455733955,0.5018029729757263,0.7,0.20450743243931568,3103,21.47879083599947,10,0.4917435878386715,4599,29.940888497999367,0.3252881061100239,0.2826268052320936
EQ020,What is a CFO Act agency in the incident-response report?,Definition,,Low,Yes,7,0.5665902600546211,0.5465902600546211,0.5665902600546211,0.75,0.2914756501365527,3543,25.781522147000036,10,0.5611174260529621,4684,33.94896555500054,0.24359521776259607,0.24058003754984736
EQ021,What is a critical-infrastructure operational technology system?,Definition,,Low,Yes,4,0.5719148443896671,0.5519148443896671,0.5719148443896671,0.7142857142857143,0.3583585395455965,2021,9.395824775999245,10,0.5288076275214072,4275,25.98438178699962,0.5272514619883041,0.6384049136508563
EQ022,What does supply chain risk management mean in the CrowdStrike outage context?,Definition,,Low,Yes,3,0.5323029253558924,0.5123029253558924,0.5214712690504623,0.8333333333333334,0.05367817262615576,1541,15.92187928400017,9,0.526218240120692,4543,31.850598681001433,0.6607968302883558,0.5001073780915329
EQ023,What is the Wall of Receipts?,Definition,,Low,Yes,8,0.656581479276585,0.6365814792765849,0.6533670055746702,1.0,0.13341751393667567,3556,23.708668417999434,10,0.656581479276585,4470,35.6778218419995,0.2044742729306488,0.33547881585949635
EQ024,What is the Main Street Lending Program intended to serve?,Definition,,Low,Yes,1,0.7390483074657154,0.7190483074657154,0.7390483074657154,1.0,0.3476207686642885,823,2.7926277549995575,10,0.7390483074657154,3390,9.577208364999935,0.7572271386430678,0.7084090009772304
EQ025,What does GAO mean by a comprehensive cybersecurity strategy?,Definition,,Medium,Yes,8,0.6137491585741983,0.5937491585741983,0.6122868610994731,0.8181818181818182,0.3034444254759553,3065,17.851318531999823,10,0.6137491585741983,4230,29.20504956799959,0.27541371158392436,0.3887591770582105
EQ026,What is the policy expectation for using CISA's playbook in incident response?,Policy,,Low,Yes,9,0.6922926837905169,0.6722926837905169,0.6922926837905169,0.9,0.3807317094762922,4570,29.09956527400027,10,0.6838072272656266,5099,32.55403244199988,0.10374583251617964,0.10611487760093274
EQ027,What is the policy concern with agencies' event logging implementation?,Policy,,Low,Yes,10,0.5762019194332595,0.5562019194332595,0.5762019194332595,0.8181818181818182,0.2132320713104216,4622,25.50664321399927,10,0.5762019194332595,4622,25.50664321399927,0.0,0.0
EQ028,What is GAO's recommendation for State Department contingency plans affecting national security?,Policy,,Low,Yes,9,0.426939420111959,0.406939420111959,0.426939420111959,0.6,0.16734855027989753,3381,12.266371357000024,10,0.426939420111959,4087,15.08009177599979,0.172742843161243,0.18658509913565968
EQ029,What policy role does the National Infrastructure Protection Plan assign for K-12 cybersecurity?,Policy,,Low,Yes,3,0.6065916613511221,0.5865916613511221,0.6065916613511221,0.8888888888888888,0.18314582004447194,1681,12.358881101000406,9,0.6039701230362529,4743,24.0011186390002,0.6455829643685431,0.48507062162852455
EQ030,What policy concern did GAO identify about transparency of DOGE contract savings?,Policy,,Low,Yes,2,0.5806822942915334,0.5606822942915334,0.5801578018509139,0.8461538461538461,0.18116373539651562,1710,11.085624403999645,10,0.5780619563146319,4783,26.72833001899926,0.6424837967802635,0.5852481469616819
EQ031,What are agencies expected to improve in risk-based information security programs?,Policy,,Low,Yes,2,0.39989991809723274,0.3798999180972327,0.39989991809723274,0.5714285714285714,0.14260693810022484,1442,7.54592470999978,10,0.39252618303110914,4823,31.85709977999977,0.7010159651669086,0.7631320879141298
EQ032,What policy issue did GAO identify for sharing cyber threat information with critical infrastructure?,Policy,,Medium,Yes,6,0.476526374931008,0.456526374931008,0.4695188735853837,0.6666666666666666,0.17379718396345933,2516,8.342925049000769,10,0.4542320987124342,4576,17.241424681999888,0.4501748251748252,0.5161116205373206
EQ033,What policy gaps remained in the National Cybersecurity Strategy and implementation plan?,Policy,,Medium,Yes,10,0.6707155529708124,0.6507155529708124,0.6707155529708124,1.0,0.17678888242703106,4561,24.153985550999096,10,0.6707155529708124,4561,24.153985550999096,0.0,0.0
EQ034,What policy issue did GAO find in CISA's coordination on OT risks?,Policy,,Medium,Yes,7,0.63001046492801,0.61001046492801,0.6286051378311815,1.0,0.07151284457795395,3028,14.274454579000121,10,0.63001046492801,4675,21.869720663000408,0.3522994652406417,0.347295980640946
EQ035,What policy issue did GAO identify with the security of NIH's information systems?,Policy,,Medium,Yes,2,0.6894585929730173,0.6694585929730172,0.6894585929730173,0.9230769230769231,0.3390310978171583,1138,7.828339232000872,9,0.681102056741985,4804,25.517821746000667,0.7631140716069942,0.6932207102188186
EQ036,What policy approach should agencies use for cybersecurity technologies protecting critical infrastructure?,Policy,,Medium,Yes,2,0.39920461594480877,0.37920461594480875,0.39240530969573806,0.5714285714285714,0.1238704170964881,1407,13.737394101999598,8,0.3932438502576972,4952,33.1418156259997,0.7158723747980613,0.585496634915118
EQ037,What policy issue did GAO identify with the Navy's hypersonic modernization strategy?,Policy,,Medium,Yes,4,0.7313587114293956,0.7113587114293956,0.7150372660805822,0.8888888888888888,0.45425983186812213,641,3.8524292950005474,10,0.7313587114293956,2567,9.114279825999802,0.7502921698480717,0.577319396754647
EQ038,What policy safeguards are relevant when an organization deploys a widely used security update?,Policy,,High,Yes,10,0.46732319176635284,0.4473231917663528,0.46732319176635284,0.7142857142857143,0.09687940798731073,4304,24.330374456999383,10,0.46732319176635284,4304,24.330374456999383,0.0,0.0
EQ039,"How should agencies prioritize cybersecurity oversight across strategy, systems, infrastructure, and privacy?",Policy,,High,Yes,3,0.6458289694715946,0.6258289694715946,0.6315862441265374,0.875,0.2664656103163435,1963,16.415151700000933,10,0.6458289694715946,4897,52.69346426800075,0.5991423320400244,0.6884784113545295
EQ040,What policy response follows when a national strategy lacks outcome measures and resource estimates?,Policy,,High,Yes,3,0.6075407881627579,0.5875407881627579,0.6075407881627579,0.8181818181818182,0.29157924313416766,1653,12.340416503000597,10,0.5443335527359042,4893,30.313375650000133,0.6621704475781729,0.5929052361081883
EQ041,How should a K-12 organization prepare for a cyber incident according to the supplied reports?,Procedural,Policy,Low,Yes,9,0.5906778586076095,0.5706778586076094,0.5906778586076095,0.8666666666666667,0.17669464651902358,4510,39.25720111899864,10,0.5786527264351194,5175,46.87392166599966,0.12850241545893715,0.16249377641738616
EQ042,How should an agency begin planning cyber vulnerability and incident-response activities?,Procedural,Policy,Low,Yes,3,0.4726747923169518,0.4526747923169518,0.45831699402821063,0.625,0.20829248507052658,1889,13.338526900000943,10,0.45308137724944636,4560,27.758585508001488,0.5857456140350877,0.5194810306110131
EQ043,How should an agency improve its ability to recover from a service disruption?,Procedural,,Low,Yes,7,0.4139278396764516,0.39392783967645156,0.4091552157813787,0.6153846153846154,0.09981111637652368,2564,30.55127344000175,10,0.4139278396764516,3714,40.49772059600036,0.30963920301561654,0.24560511084618786
EQ044,What steps should an agency take to strengthen a risk-based information-security program?,Procedural,Policy,Medium,Yes,8,0.5430555173033289,0.5230555173033289,0.5430555173033289,0.8125,0.13888879325832224,4556,48.7765272259985,9,0.5400931037200506,5051,54.10666569499881,0.09800039596119581,0.09851167874669065
EQ045,How should an organization select cybersecurity technologies for critical-infrastructure protection?,Procedural,Policy,Medium,Yes,5,0.5651258548332335,0.5451258548332335,0.5521534507083807,0.7692307692307693,0.22653747292479778,3345,18.816385564001394,8,0.5651258548332335,4890,21.18179457699989,0.3159509202453987,0.11167179458755405
EQ046,How should CISA and partner agencies improve collaboration on OT cybersecurity risks?,Procedural,Policy,Medium,Yes,3,0.6277306551338614,0.6077306551338614,0.6277306551338614,0.8666666666666667,0.26932663783465344,2112,14.040203263999503,10,0.590937568222756,4930,28.702710937999655,0.5716024340770791,0.5108405162729207
EQ047,How should a federal agency make its cyber threat information sharing more useful?,Procedural,Policy,Medium,Yes,6,0.6063506646129123,0.5863506646129123,0.601263524299164,0.8571428571428571,0.21744452503362433,3284,21.610104345001673,10,0.6063506646129123,5062,40.752999241,0.351244567364678,0.46972971934638386
EQ048,"How should an agency structure incident-response readiness around people, tools, and outside support?",Procedural,,Medium,Yes,9,0.6534752420140908,0.6334752420140908,0.6534752420140908,0.9230769230769231,0.24907272041984224,3933,42.36119935700117,10,0.6418742626406306,4500,48.206134303,0.126,0.12124877944496548
EQ049,How should a team measure progress on a national cybersecurity initiative?,Procedural,,Medium,Yes,4,0.5995639773118642,0.5795639773118642,0.5830433578516117,0.9166666666666666,0.08260839462902936,1963,12.664770652998413,10,0.5727287519325664,4990,31.874448696999025,0.6066132264529058,0.6026669896822152
EQ050,"How should an oversight team review reported savings from terminated contracts, grants, and leases?",Procedural,Policy,Medium,Yes,6,0.36961005748329934,0.3496100574832993,0.35965019742588533,0.5,0.1491254935647133,3433,23.40228288400067,8,0.36961005748329934,4599,41.124140519999855,0.25353337682104804,0.43093563566101856
EQ051,How should the Navy address its delayed hypersonic capability effort?,Procedural,Policy,High,Yes,4,0.6206966435889497,0.6006966435889497,0.6148916145910873,0.9333333333333333,0.13722903647771842,2065,14.631064413999411,10,0.5958997546961358,4165,25.732754951999603,0.5042016806722689,0.4314225413761039
EQ052,How should an agency prepare for a software-supply-chain disruption like the CrowdStrike outage?,Procedural,Policy,High,Yes,9,0.31588975952357756,0.29588975952357754,0.31588975952357756,0.3333333333333333,0.2897243988089439,4668,36.03634224099915,9,0.31588975952357756,4668,36.03634224099915,0.0,0.0
EQ053,How should federal leaders close gaps in a national cybersecurity strategy?,Procedural,Policy,High,Yes,10,0.4098049427732447,0.3898049427732447,0.4098049427732447,0.5833333333333334,0.14951235693311163,4690,25.855053580000455,10,0.4098049427732447,4690,25.855053580000455,0.0,0.0
EQ054,How should a cybersecurity program address deficiencies across the five core security functions?,Procedural,Policy,High,Yes,8,0.5735253685350035,0.5535253685350034,0.565575288667417,0.7647058823529411,0.2668793981391308,4078,34.313339970000015,10,0.5735253685350035,4866,46.67118304199903,0.16193999177969587,0.26478529719030885
EQ055,How should a critical-infrastructure operator use CISA OT services while managing their limitations?,Procedural,Policy,High,Yes,7,0.4567360836438304,0.4367360836438304,0.44773172194299893,0.6666666666666666,0.11932930485749738,4206,42.903063125999324,9,0.4548459840594345,4883,52.519355610000275,0.13864427605979934,0.18309997090234487
EQ056,How does operational technology differ from ordinary information technology in the supplied cybersecurity material?,Comparison,,Low,Yes,9,0.5157661333100827,0.4957661333100827,0.5157661333100827,0.7142857142857143,0.21798676184663549,4004,31.247365415998498,10,0.5157661333100827,4554,35.92835241600005,0.12077294685990336,0.13028671467598274
EQ057,How does the CrowdStrike outage differ from the SolarWinds attack?,Comparison,,Low,Yes,1,0.5665646688679137,0.5465646688679137,0.5662927664907393,0.8125,0.19698191622684844,791,7.168397644998549,10,0.5585923191664661,2563,13.546554576998458,0.6913772922356614,0.47083240950653094
EQ058,"Compare the incident-response support roles of tools, services, and resources.",Comparison,,Medium,Yes,8,0.6992942268500115,0.6792942268500115,0.6955873698946224,1.0,0.23896842473655616,3029,34.368042446998516,10,0.6992942268500115,4059,43.621713352998995,0.2537570830253757,0.21213451271657324
EQ059,Compare the two incomplete national-strategy characteristics identified by GAO.,Comparison,,Medium,Yes,9,0.3820342277858827,0.3620342277858827,0.3820342277858827,0.5714285714285714,0.09794271232184966,3807,23.97618005999902,10,0.3820342277858827,4313,27.53547025700027,0.11731973104567583,0.12926200873930527
EQ060,Compare the two main OT coordination challenges identified by selected agencies.,Comparison,,Medium,Yes,9,0.5256060982401377,0.5056060982401377,0.5212601990093242,0.8,0.10315049752331037,4531,39.551880332999644,10,0.5256060982401377,5144,54.870737139000994,0.1191679626749611,0.2791808093846988
EQ061,Compare the operational impacts of a K-12 cyberattack on learning and recovery.,Comparison,,Medium,Yes,3,0.6789349077618186,0.6589349077618186,0.6618387232212382,1.0,0.15459680805309536,1881,14.136089227999037,9,0.6568438057172303,4831,45.12092777400176,0.6106396191264749,0.6867065921427238
EQ062,How do the cybersecurity findings for NIH and federal agencies generally compare?,Comparison,,Medium,Yes,9,0.44327098957341016,0.42327098957341014,0.44327098957341016,0.625,0.17067747393352545,4593,34.83682659999795,10,0.4303273651970597,4879,42.65383340699918,0.05861856937897114,0.1832662197653382
EQ063,Compare the reported repayment outcome of the Main Street Program with the internal-control improvements described by GAO.,Comparison,,Medium,Yes,4,0.5338830887516868,0.5138830887516868,0.5338830887516868,0.75,0.20970772187921713,2414,21.714041151000853,8,0.5316256985457388,5003,53.777719141000496,0.5174895062962223,0.5962260672664728
EQ064,Compare Treasury's borrowing approach with the fiscal risk noted in the debt-management report.,Comparison,,Medium,Yes,9,0.5377187635962268,0.5177187635962268,0.5377187635962268,0.8,0.14429690899056705,3557,39.15738036999937,10,0.5344129061854127,3854,36.87604177199864,0.07706279190451482,-0.06186506165998096
EQ065,Compare the types of cybersecurity technologies available for critical-infrastructure protection with the implementation gap identified by GAO.,Comparison,,Medium,Yes,8,0.5747393074750838,0.5547393074750838,0.5747393074750838,0.8421052631578947,0.17369037395086775,3994,34.85658642400085,10,0.5619498530783772,4859,42.18688420200124,0.17802016875900395,0.17375774287812074
EQ066,Compare CISA's positive OT service experiences with the limitations reported by users.,Comparison,,High,Yes,8,0.5307875775342552,0.5107875775342552,0.5273270240066186,0.8333333333333334,0.0683175600165463,4126,39.19355434699901,9,0.5307875775342552,4824,51.377511741999115,0.1446932006633499,0.23714572741832873
EQ067,Compare the cybersecurity governance gaps in the National Cybersecurity Strategy with the gaps revealed by the CrowdStrike outage.,Comparison,,High,Yes,6,0.3875839407901076,0.3675839407901076,0.3875839407901076,0.5,0.21895985197526904,2974,19.015323954999992,10,0.37808006947496803,4095,25.637972323000213,0.2737484737484738,0.25831404623441856
EQ068,Compare federal-system security challenges with critical-infrastructure cybersecurity challenges in GAO's high-risk framework.,Comparison,,High,Yes,5,0.48913379806805457,0.46913379806805455,0.4810407205293287,0.6111111111111112,0.2859351346566551,3416,35.26606058300058,7,0.48913379806805457,4629,49.86404186999972,0.26204363793475915,0.2927556760251697
EQ069,"Compare the transparency problems in DOGE's contract, grant, and lease savings estimates.",Comparison,,High,Yes,3,0.5672597024924058,0.5472597024924057,0.548791539309374,0.7272727272727273,0.281069757364344,1674,21.54699410200009,8,0.5672597024924058,4730,49.591776515000674,0.6460887949260042,0.5655127600544319
EQ070,Compare the Navy's DDG 1000 modernization schedule challenge with its missile-production challenge.,Comparison,,High,Yes,2,0.6338240713761957,0.6138240713761957,0.6170146589889198,0.8888888888888888,0.2092033141389661,1525,26.041239318999942,10,0.612847132684792,4747,51.010897580001256,0.6787444701917,0.48949654771004525
EQ071,Summarize the main incident-response preparedness finding for federal agencies.,Summary,,Low,Yes,8,0.561544045285137,0.541544045285137,0.561544045285137,0.8333333333333334,0.1538601132128425,2980,27.05502426199928,10,0.5508251875588825,4025,34.500590062998526,0.2596273291925466,0.21580981042363467
EQ072,Summarize the main cybersecurity finding for K-12 schools.,Summary,,Medium,Yes,10,0.44721904265592616,0.42721904265592614,0.44721904265592616,0.6666666666666666,0.1180476066398154,4492,27.378198087000783,10,0.44721904265592616,4492,27.378198087000783,0.0,0.0
EQ073,Summarize GAO's assessment of the National Cybersecurity Strategy and its implementation plan.,Summary,,Medium,Yes,10,0.714012622344534,0.694012622344534,0.714012622344534,1.0,0.2850315558613351,4228,29.387330797999308,10,0.714012622344534,4228,29.387330797999308,0.0,0.0
EQ074,Summarize the cybersecurity lessons of the CrowdStrike outage.,Summary,,Medium,Yes,1,0.6712269164327946,0.6512269164327946,0.6712269164327946,0.875,0.36556729108198666,830,11.377899605000493,10,0.6554479487157684,2983,21.204326670002047,0.7217566208514918,0.4634161328453352
EQ075,Summarize GAO's high-risk cybersecurity framework and current concern.,Summary,,High,Yes,7,0.5556737776621652,0.5356737776621652,0.5505852586472003,0.8181818181818182,0.14919041934527355,3483,29.48478468399844,10,0.5501741955033623,4687,39.42049852299988,0.25688073394495414,0.25204434777009344
EQ076,"Summarize the main findings on CISA's OT cybersecurity products, services, and coordination.",Summary,,High,Yes,10,0.41871223031733484,0.3987122303173348,0.41871223031733484,0.631578947368421,0.09941215474070568,4742,34.39512079400015,10,0.41871223031733484,4742,34.39512079400015,0.0,0.0
EQ077,Summarize the information-security challenges described in GAO's 2016 testimony.,Summary,,High,Yes,7,0.37421464542020527,0.35421464542020525,0.3670103637963746,0.55,0.09252590949093646,3874,29.021221473999958,9,0.3676020737075164,4913,43.91064251099988,0.21147974760838595,0.33908456323020164
EQ078,Summarize the key findings on Treasury debt management and fiscal risk.,Summary,,High,Yes,9,0.6434141089230399,0.6234141089230398,0.6260518748349915,0.9090909090909091,0.2014933234511151,3706,43.36296211299987,10,0.6434141089230399,4383,50.200442802,0.15446041524070275,0.13620359318280206
EQ079,Summarize the Navy's hypersonic modernization findings.,Summary,,High,Yes,6,0.6045906981338088,0.5845906981338088,0.5954741017426254,0.8333333333333334,0.2386852543565634,2428,29.744657306000136,10,0.5978020754702219,3464,38.402041559999816,0.2990762124711316,0.2254407292506384
EQ080,Summarize GAO's concerns about DOGE's Wall of Receipts savings figures.,Summary,,High,Yes,8,0.4469035302913672,0.4269035302913672,0.4469035302913672,0.6666666666666666,0.11725882572841803,4645,36.777988923000066,8,0.4469035302913672,4645,36.777988923000066,0.0,0.0
EQ081,How do CISA's incident-response playbook and the CrowdStrike findings work together to guide disruption preparedness?,Multi-document,Procedural,Medium,Yes,9,0.4592116433372098,0.4392116433372098,0.4592116433372098,0.6666666666666666,0.14802910834302457,3867,25.06992293700023,10,0.4568996551129101,4047,25.527038107999942,0.044477390659747984,0.017907097919693915
EQ082,How do federal incident-response requirements relate to the broader high-risk cybersecurity challenges?,Multi-document,Policy,Medium,Yes,10,0.554780080995893,0.534780080995893,0.554780080995893,0.7777777777777778,0.22028353582306598,4674,39.48816612199971,10,0.554780080995893,4674,39.48816612199971,0.0,0.0
EQ083,How should national leaders connect strategy measurement with cybersecurity oversight?,Multi-document,Policy,High,Yes,6,0.4281789504610545,0.40817895046105446,0.41372410351278793,0.5833333333333334,0.15931025878196975,2977,14.167853295999976,10,0.4281789504610545,4467,25.885854426999686,0.3335571972240877,0.4526797121588345
EQ084,How do CISA's OT coordination findings relate to the need for timely cyber threat information sharing?,Multi-document,Policy,High,Yes,7,0.42000020851801884,0.4000002085180188,0.42000020851801884,0.5789473684210527,0.18157946866346808,4186,27.99980005199996,9,0.4071588315961788,5001,35.79961708000019,0.16296740651869623,0.21787431442549354
EQ085,How do the CrowdStrike and SolarWinds examples reinforce supply-chain oversight concerns?,Multi-document,Comparison,High,Yes,6,0.49061655920006614,0.4706165592000661,0.47260742993942073,0.6521739130434783,0.20325770528333434,3092,24.634501858999553,9,0.48957394968616663,4968,36.84131175399989,0.3776167471819646,0.3313348334746803
EQ086,How do the K-12 cybersecurity findings relate to the high-risk report's critical-infrastructure concerns?,Multi-document,Policy,High,Yes,9,0.5799254952418389,0.5599254952418389,0.5799254952418389,0.8260869565217391,0.2106833033219886,4900,33.633367574000204,9,0.5799254952418389,4900,33.633367574000204,0.0,0.0
EQ087,How do NIH security deficiencies connect to the five core security functions described in its report?,Multi-document,Definition,High,Yes,5,0.584613908152555,0.564613908152555,0.5661110529997431,0.875,0.10277763249935752,2883,33.387742077999974,10,0.5724394195128208,4765,45.419743199000095,0.39496327387198316,0.2649068504919465
EQ088,How do GAO's critical-infrastructure technology framework and the CISA OT report complement each other?,Multi-document,Procedural,High,Yes,10,0.44758081377818004,0.42758081377818,0.44758081377818004,0.6086956521739131,0.20590855618458054,4426,31.80752043399934,10,0.44758081377818004,4426,31.80752043399934,0.0,0.0
EQ089,How do predictable Treasury auctions and transparent DOGE savings reporting illustrate different accountability needs?,Multi-document,Comparison,High,Yes,7,0.522412386276075,0.502412386276075,0.5195834636601101,0.7727272727272727,0.1398677500593662,3710,34.96123775199976,10,0.5097673891216146,4775,41.286287140999775,0.2230366492146597,0.1531997626088023
EQ090,How do the Main Street Program's internal-control improvements and GAO's performance-accountability mission reinforce one another?,Multi-document,Summary,High,Yes,6,0.3557154001249795,0.33571540012497947,0.3557154001249795,0.5263157894736842,0.09981481610192246,3427,11.647895394001353,9,0.3557154001249795,4762,17.83589433600082,0.28034439311213777,0.3469407715378373
EQ091,Does the organization reimburse employees for home-office internet service?,Unanswerable / Out-of-Knowledge,,Low,No,2,0.2707308415014581,0.2507308415014581,0.26899963553969813,0.4,0.0724990888492453,781,3.078483740999218,10,0.26823698010303315,4116,12.893575728999167,0.8102526724975705,0.761238945215535
EQ092,What is the annual paid leave allowance for a new employee?,Unanswerable / Out-of-Knowledge,,Low,No,7,0.38982762447649055,0.36982762447649054,0.38982762447649055,0.6,0.07456906119122649,3708,10.67974169699937,9,0.38982762447649055,3915,11.66240600799938,0.05287356321839076,0.08425914089476805
EQ093,Can I carry unused vacation days into the next year?,Unanswerable / Out-of-Knowledge,,Low,No,10,0.2757944933228445,0.2557944933228445,0.2757944933228445,0.4,0.08948623330711122,4276,18.76289253499999,10,0.2757944933228445,4276,18.76289253499999,0.0,0.0
EQ094,What is the company's parental-leave policy?,Unanswerable / Out-of-Knowledge,,Low,No,3,0.2753887363043447,0.25538873630434467,0.2753887363043447,0.4,0.08847184076086173,1644,4.10329385300065,10,0.2753887363043447,3743,10.48480617199948,0.5607801228960727,0.6086438045980451
EQ095,How do I enroll in the company's health insurance plan?,Unanswerable / Out-of-Knowledge,,Low,No,7,0.5345022914661961,0.5145022914661961,0.5345022914661961,0.8,0.1362557286654903,3891,12.113341740000578,9,0.534293103127369,4787,15.632106804000614,0.18717359515354082,0.22509858128013194
EQ096,What is the employee expense-claim approval process?,Unanswerable / Out-of-Knowledge,,Low,No,8,0.2778804432932896,0.2578804432932896,0.2778804432932896,0.4,0.09470110823322402,4089,12.539149046000603,9,0.2778804432932896,4221,13.397134044001175,0.03127221037668804,0.06404242841660246
EQ097,What is the organization-wide policy for reporting workplace harassment?,Unanswerable / Out-of-Knowledge,,Medium,No,1,0.16194328901876726,0.14194328901876727,0.15172141478650056,0.2,0.07930353696625142,345,5.6268414440000925,10,0.16194328901876726,4333,21.15497292099917,0.9203784906531272,0.7340180266354919
