ID,Question,Reference_Answer,Expected_Source_Document,Expected_Source_Page,K,Expected_Sources,Retrieved_Sources,Document_Coverage,Page_Coverage,All_Documents_Found,All_Pages_Found,Retrieval_Time_Seconds
EQ002,How many civilian CFO Act agencies were covered in GAO's incident-response preparedness finding?,The report covered 23 civilian CFO Act agencies.,GAO-24-105658,PDF p. 2,1,"[{""evaluation_document"": ""GAO-24-105658"", ""indexed_document"": ""d24105658.pdf"", ""expected_pages"": [2]}]","[{""rank"": 1, ""document"": ""d24105658.pdf"", ""page"": 2, ""distance"": 0.5854775309562683}]",1.0,1.0,True,True,0.014142400003038347
EQ002,How many civilian CFO Act agencies were covered in GAO's incident-response preparedness finding?,The report covered 23 civilian CFO Act agencies.,GAO-24-105658,PDF p. 2,2,"[{""evaluation_document"": ""GAO-24-105658"", ""indexed_document"": ""d24105658.pdf"", ""expected_pages"": [2]}]","[{""rank"": 1, ""document"": ""d24105658.pdf"", ""page"": 2, ""distance"": 0.5854775309562683}, {""rank"": 2, ""document"": ""d24105658.pdf"", ""page"": 24, ""distance"": 0.7580001950263977}]",1.0,1.0,True,True,0.012669700023252517
EQ002,How many civilian CFO Act agencies were covered in GAO's incident-response preparedness finding?,The report covered 23 civilian CFO Act agencies.,GAO-24-105658,PDF p. 2,3,"[{""evaluation_document"": ""GAO-24-105658"", ""indexed_document"": ""d24105658.pdf"", ""expected_pages"": [2]}]","[{""rank"": 1, ""document"": ""d24105658.pdf"", ""page"": 2, ""distance"": 0.5854775309562683}, {""rank"": 2, ""document"": ""d24105658.pdf"", ""page"": 24, ""distance"": 0.7580001950263977}, {""rank"": 3, ""document"": ""d24105658.pdf"", ""page"": 9, ""distance"": 0.7636392116546631}]",1.0,1.0,True,True,0.02169039996806532
EQ002,How many civilian CFO Act agencies were covered in GAO's incident-response preparedness finding?,The report covered 23 civilian CFO Act agencies.,GAO-24-105658,PDF p. 2,4,"[{""evaluation_document"": ""GAO-24-105658"", ""indexed_document"": ""d24105658.pdf"", ""expected_pages"": [2]}]","[{""rank"": 1, ""document"": ""d24105658.pdf"", ""page"": 2, ""distance"": 0.5854775309562683}, {""rank"": 2, ""document"": ""d24105658.pdf"", ""page"": 24, ""distance"": 0.7580001950263977}, {""rank"": 3, ""document"": ""d24105658.pdf"", ""page"": 9, ""distance"": 0.7636392116546631}, {""rank"": 4, ""document"": ""d24105658.pdf"", ""page"": 47, ""distance"": 0.8006081581115723}]",1.0,1.0,True,True,0.014808300009462982
EQ002,How many civilian CFO Act agencies were covered in GAO's incident-response preparedness finding?,The report covered 23 civilian CFO Act agencies.,GAO-24-105658,PDF p. 2,5,"[{""evaluation_document"": ""GAO-24-105658"", ""indexed_document"": ""d24105658.pdf"", ""expected_pages"": [2]}]","[{""rank"": 1, ""document"": ""d24105658.pdf"", ""page"": 2, ""distance"": 0.5854775309562683}, {""rank"": 2, ""document"": ""d24105658.pdf"", ""page"": 24, ""distance"": 0.7580001950263977}, {""rank"": 3, ""document"": ""d24105658.pdf"", ""page"": 9, ""distance"": 0.7636392116546631}, {""rank"": 4, ""document"": ""d24105658.pdf"", ""page"": 47, ""distance"": 0.8006081581115723}, {""rank"": 5, ""document"": ""d24105658.pdf"", ""page"": 45, ""distance"": 0.8215126991271973}]",1.0,1.0,True,True,0.016259500000160187
EQ002,How many civilian CFO Act agencies were covered in GAO's incident-response preparedness finding?,The report covered 23 civilian CFO Act agencies.,GAO-24-105658,PDF p. 2,6,"[{""evaluation_document"": ""GAO-24-105658"", ""indexed_document"": ""d24105658.pdf"", ""expected_pages"": [2]}]","[{""rank"": 1, ""document"": ""d24105658.pdf"", ""page"": 2, ""distance"": 0.5854775309562683}, {""rank"": 2, ""document"": ""d24105658.pdf"", ""page"": 24, ""distance"": 0.7580001950263977}, {""rank"": 3, ""document"": ""d24105658.pdf"", ""page"": 9, ""distance"": 0.7636392116546631}, {""rank"": 4, ""document"": ""d24105658.pdf"", ""page"": 47, ""distance"": 0.8006081581115723}, {""rank"": 5, ""document"": ""d24105658.pdf"", ""page"": 45, ""distance"": 0.8215126991271973}, {""rank"": 6, ""document"": ""d24105658.pdf"", ""page"": 50, ""distance"": 0.822910487651825}]",1.0,1.0,True,True,0.010485399980098009
EQ002,How many civilian CFO Act agencies were covered in GAO's incident-response preparedness finding?,The report covered 23 civilian CFO Act agencies.,GAO-24-105658,PDF p. 2,7,"[{""evaluation_document"": ""GAO-24-105658"", ""indexed_document"": ""d24105658.pdf"", ""expected_pages"": [2]}]","[{""rank"": 1, ""document"": ""d24105658.pdf"", ""page"": 2, ""distance"": 0.5854775309562683}, {""rank"": 2, ""document"": ""d24105658.pdf"", ""page"": 24, ""distance"": 0.7580001950263977}, {""rank"": 3, ""document"": ""d24105658.pdf"", ""page"": 9, ""distance"": 0.7636392116546631}, {""rank"": 4, ""document"": ""d24105658.pdf"", ""page"": 47, ""distance"": 0.8006081581115723}, {""rank"": 5, ""document"": ""d24105658.pdf"", ""page"": 45, ""distance"": 0.8215126991271973}, {""rank"": 6, ""document"": ""d24105658.pdf"", ""page"": 50, ""distance"": 0.822910487651825}, {""rank"": 7, ""document"": ""d24105658.pdf"", ""page"": 15, ""distance"": 0.856231689453125}]",1.0,1.0,True,True,0.015667400031816214
EQ002,How many civilian CFO Act agencies were covered in GAO's incident-response preparedness finding?,The report covered 23 civilian CFO Act agencies.,GAO-24-105658,PDF p. 2,8,"[{""evaluation_document"": ""GAO-24-105658"", ""indexed_document"": ""d24105658.pdf"", ""expected_pages"": [2]}]","[{""rank"": 1, ""document"": ""d24105658.pdf"", ""page"": 2, ""distance"": 0.5854775309562683}, {""rank"": 2, ""document"": ""d24105658.pdf"", ""page"": 24, ""distance"": 0.7580001950263977}, {""rank"": 3, ""document"": ""d24105658.pdf"", ""page"": 9, ""distance"": 0.7636392116546631}, {""rank"": 4, ""document"": ""d24105658.pdf"", ""page"": 47, ""distance"": 0.8006081581115723}, {""rank"": 5, ""document"": ""d24105658.pdf"", ""page"": 45, ""distance"": 0.8215126991271973}, {""rank"": 6, ""document"": ""d24105658.pdf"", ""page"": 50, ""distance"": 0.822910487651825}, {""rank"": 7, ""document"": ""d24105658.pdf"", ""page"": 15, ""distance"": 0.856231689453125}, {""rank"": 8, ""document"": ""d24105658.pdf"", ""page"": 3, ""distance"": 0.8837590217590332}]",1.0,1.0,True,True,0.015981200034730136
EQ002,How many civilian CFO Act agencies were covered in GAO's incident-response preparedness finding?,The report covered 23 civilian CFO Act agencies.,GAO-24-105658,PDF p. 2,9,"[{""evaluation_document"": ""GAO-24-105658"", ""indexed_document"": ""d24105658.pdf"", ""expected_pages"": [2]}]","[{""rank"": 1, ""document"": ""d24105658.pdf"", ""page"": 2, ""distance"": 0.5854775309562683}, {""rank"": 2, ""document"": ""d24105658.pdf"", ""page"": 24, ""distance"": 0.7580001950263977}, {""rank"": 3, ""document"": ""d24105658.pdf"", ""page"": 9, ""distance"": 0.7636392116546631}, {""rank"": 4, ""document"": ""d24105658.pdf"", ""page"": 47, ""distance"": 0.8006081581115723}, {""rank"": 5, ""document"": ""d24105658.pdf"", ""page"": 45, ""distance"": 0.8215126991271973}, {""rank"": 6, ""document"": ""d24105658.pdf"", ""page"": 50, ""distance"": 0.822910487651825}, {""rank"": 7, ""document"": ""d24105658.pdf"", ""page"": 15, ""distance"": 0.856231689453125}, {""rank"": 8, ""document"": ""d24105658.pdf"", ""page"": 3, ""distance"": 0.8837590217590332}, {""rank"": 9, ""document"": ""d24105658.pdf"", ""page"": 4, ""distance"": 0.884005606174469}]",1.0,1.0,True,True,0.014813899993896484
EQ002,How many civilian CFO Act agencies were covered in GAO's incident-response preparedness finding?,The report covered 23 civilian CFO Act agencies.,GAO-24-105658,PDF p. 2,10,"[{""evaluation_document"": ""GAO-24-105658"", ""indexed_document"": ""d24105658.pdf"", ""expected_pages"": [2]}]","[{""rank"": 1, ""document"": ""d24105658.pdf"", ""page"": 2, ""distance"": 0.5854775309562683}, {""rank"": 2, ""document"": ""d24105658.pdf"", ""page"": 24, ""distance"": 0.7580001950263977}, {""rank"": 3, ""document"": ""d24105658.pdf"", ""page"": 9, ""distance"": 0.7636392116546631}, {""rank"": 4, ""document"": ""d24105658.pdf"", ""page"": 47, ""distance"": 0.8006081581115723}, {""rank"": 5, ""document"": ""d24105658.pdf"", ""page"": 45, ""distance"": 0.8215126991271973}, {""rank"": 6, ""document"": ""d24105658.pdf"", ""page"": 50, ""distance"": 0.822910487651825}, {""rank"": 7, ""document"": ""d24105658.pdf"", ""page"": 15, ""distance"": 0.856231689453125}, {""rank"": 8, ""document"": ""d24105658.pdf"", ""page"": 3, ""distance"": 0.8837590217590332}, {""rank"": 9, ""document"": ""d24105658.pdf"", ""page"": 4, ""distance"": 0.884005606174469}, {""rank"": 10, ""document"": ""gao-24-107231.pdf"", ""page"": 29, ""distance"": 0.888957142829895}]",1.0,1.0,True,True,0.015288100054021925
EQ003,When was CISA's incident-response playbook issued?,CISA issued the playbook in November 2021.,GAO-24-105658,PDF p. 2,1,"[{""evaluation_document"": ""GAO-24-105658"", ""indexed_document"": ""d24105658.pdf"", ""expected_pages"": [2]}]","[{""rank"": 1, ""document"": ""d24105658.pdf"", ""page"": 24, ""distance"": 0.7166346311569214}]",1.0,0.0,True,False,0.014625100011471659
EQ003,When was CISA's incident-response playbook issued?,CISA issued the playbook in November 2021.,GAO-24-105658,PDF p. 2,2,"[{""evaluation_document"": ""GAO-24-105658"", ""indexed_document"": ""d24105658.pdf"", ""expected_pages"": [2]}]","[{""rank"": 1, ""document"": ""d24105658.pdf"", ""page"": 24, ""distance"": 0.7166346311569214}, {""rank"": 2, ""document"": ""d24105658.pdf"", ""page"": 38, ""distance"": 0.7884235382080078}]",1.0,0.0,True,False,0.014695100020617247
EQ003,When was CISA's incident-response playbook issued?,CISA issued the playbook in November 2021.,GAO-24-105658,PDF p. 2,3,"[{""evaluation_document"": ""GAO-24-105658"", ""indexed_document"": ""d24105658.pdf"", ""expected_pages"": [2]}]","[{""rank"": 1, ""document"": ""d24105658.pdf"", ""page"": 24, ""distance"": 0.7166346311569214}, {""rank"": 2, ""document"": ""d24105658.pdf"", ""page"": 38, ""distance"": 0.7884235382080078}, {""rank"": 3, ""document"": ""d24105658.pdf"", ""page"": 20, ""distance"": 0.8892508745193481}]",1.0,0.0,True,False,0.013167699973564595
EQ003,When was CISA's incident-response playbook issued?,CISA issued the playbook in November 2021.,GAO-24-105658,PDF p. 2,4,"[{""evaluation_document"": ""GAO-24-105658"", ""indexed_document"": ""d24105658.pdf"", ""expected_pages"": [2]}]","[{""rank"": 1, ""document"": ""d24105658.pdf"", ""page"": 24, ""distance"": 0.7166346311569214}, {""rank"": 2, ""document"": ""d24105658.pdf"", ""page"": 38, ""distance"": 0.7884235382080078}, {""rank"": 3, ""document"": ""d24105658.pdf"", ""page"": 20, ""distance"": 0.8892508745193481}, {""rank"": 4, ""document"": ""d24105658.pdf"", ""page"": 14, ""distance"": 0.8946880102157593}]",1.0,0.0,True,False,0.012773999944329262
EQ003,When was CISA's incident-response playbook issued?,CISA issued the playbook in November 2021.,GAO-24-105658,PDF p. 2,5,"[{""evaluation_document"": ""GAO-24-105658"", ""indexed_document"": ""d24105658.pdf"", ""expected_pages"": [2]}]","[{""rank"": 1, ""document"": ""d24105658.pdf"", ""page"": 24, ""distance"": 0.7166346311569214}, {""rank"": 2, ""document"": ""d24105658.pdf"", ""page"": 38, ""distance"": 0.7884235382080078}, {""rank"": 3, ""document"": ""d24105658.pdf"", ""page"": 20, ""distance"": 0.8892508745193481}, {""rank"": 4, ""document"": ""d24105658.pdf"", ""page"": 14, ""distance"": 0.8946880102157593}, {""rank"": 5, ""document"": ""d24105658.pdf"", ""page"": 25, ""distance"": 0.9085635542869568}]",1.0,0.0,True,False,0.013279500009957701
EQ003,When was CISA's incident-response playbook issued?,CISA issued the playbook in November 2021.,GAO-24-105658,PDF p. 2,6,"[{""evaluation_document"": ""GAO-24-105658"", ""indexed_document"": ""d24105658.pdf"", ""expected_pages"": [2]}]","[{""rank"": 1, ""document"": ""d24105658.pdf"", ""page"": 24, ""distance"": 0.7166346311569214}, {""rank"": 2, ""document"": ""d24105658.pdf"", ""page"": 38, ""distance"": 0.7884235382080078}, {""rank"": 3, ""document"": ""d24105658.pdf"", ""page"": 20, ""distance"": 0.8892508745193481}, {""rank"": 4, ""document"": ""d24105658.pdf"", ""page"": 14, ""distance"": 0.8946880102157593}, {""rank"": 5, ""document"": ""d24105658.pdf"", ""page"": 25, ""distance"": 0.9085635542869568}, {""rank"": 6, ""document"": ""d24106576.pdf"", ""page"": 64, ""distance"": 0.9235020875930786}]",1.0,0.0,True,False,0.013748899975325912
EQ003,When was CISA's incident-response playbook issued?,CISA issued the playbook in November 2021.,GAO-24-105658,PDF p. 2,7,"[{""evaluation_document"": ""GAO-24-105658"", ""indexed_document"": ""d24105658.pdf"", ""expected_pages"": [2]}]","[{""rank"": 1, ""document"": ""d24105658.pdf"", ""page"": 24, ""distance"": 0.7166346311569214}, {""rank"": 2, ""document"": ""d24105658.pdf"", ""page"": 38, ""distance"": 0.7884235382080078}, {""rank"": 3, ""document"": ""d24105658.pdf"", ""page"": 20, ""distance"": 0.8892508745193481}, {""rank"": 4, ""document"": ""d24105658.pdf"", ""page"": 14, ""distance"": 0.8946880102157593}, {""rank"": 5, ""document"": ""d24105658.pdf"", ""page"": 25, ""distance"": 0.9085635542869568}, {""rank"": 6, ""document"": ""d24106576.pdf"", ""page"": 64, ""distance"": 0.9235020875930786}, {""rank"": 7, ""document"": ""d24106576.pdf"", ""page"": 44, ""distance"": 0.944780707359314}]",1.0,0.0,True,False,0.01426939998054877
EQ003,When was CISA's incident-response playbook issued?,CISA issued the playbook in November 2021.,GAO-24-105658,PDF p. 2,8,"[{""evaluation_document"": ""GAO-24-105658"", ""indexed_document"": ""d24105658.pdf"", ""expected_pages"": [2]}]","[{""rank"": 1, ""document"": ""d24105658.pdf"", ""page"": 24, ""distance"": 0.7166346311569214}, {""rank"": 2, ""document"": ""d24105658.pdf"", ""page"": 38, ""distance"": 0.7884235382080078}, {""rank"": 3, ""document"": ""d24105658.pdf"", ""page"": 20, ""distance"": 0.8892508745193481}, {""rank"": 4, ""document"": ""d24105658.pdf"", ""page"": 14, ""distance"": 0.8946880102157593}, {""rank"": 5, ""document"": ""d24105658.pdf"", ""page"": 25, ""distance"": 0.9085635542869568}, {""rank"": 6, ""document"": ""d24106576.pdf"", ""page"": 64, ""distance"": 0.9235020875930786}, {""rank"": 7, ""document"": ""d24106576.pdf"", ""page"": 44, ""distance"": 0.944780707359314}, {""rank"": 8, ""document"": ""d24105658.pdf"", ""page"": 50, ""distance"": 0.9705806374549866}]",1.0,0.0,True,False,0.013728899997659028
EQ003,When was CISA's incident-response playbook issued?,CISA issued the playbook in November 2021.,GAO-24-105658,PDF p. 2,9,"[{""evaluation_document"": ""GAO-24-105658"", ""indexed_document"": ""d24105658.pdf"", ""expected_pages"": [2]}]","[{""rank"": 1, ""document"": ""d24105658.pdf"", ""page"": 24, ""distance"": 0.7166346311569214}, {""rank"": 2, ""document"": ""d24105658.pdf"", ""page"": 38, ""distance"": 0.7884235382080078}, {""rank"": 3, ""document"": ""d24105658.pdf"", ""page"": 20, ""distance"": 0.8892508745193481}, {""rank"": 4, ""document"": ""d24105658.pdf"", ""page"": 14, ""distance"": 0.8946880102157593}, {""rank"": 5, ""document"": ""d24105658.pdf"", ""page"": 25, ""distance"": 0.9085635542869568}, {""rank"": 6, ""document"": ""d24106576.pdf"", ""page"": 64, ""distance"": 0.9235020875930786}, {""rank"": 7, ""document"": ""d24106576.pdf"", ""page"": 44, ""distance"": 0.944780707359314}, {""rank"": 8, ""document"": ""d24105658.pdf"", ""page"": 50, ""distance"": 0.9705806374549866}, {""rank"": 9, ""document"": ""d24105658.pdf"", ""page"": 46, ""distance"": 0.9734125733375549}]",1.0,0.0,True,False,0.013301099999807775
EQ003,When was CISA's incident-response playbook issued?,CISA issued the playbook in November 2021.,GAO-24-105658,PDF p. 2,10,"[{""evaluation_document"": ""GAO-24-105658"", ""indexed_document"": ""d24105658.pdf"", ""expected_pages"": [2]}]","[{""rank"": 1, ""document"": ""d24105658.pdf"", ""page"": 24, ""distance"": 0.7166346311569214}, {""rank"": 2, ""document"": ""d24105658.pdf"", ""page"": 38, ""distance"": 0.7884235382080078}, {""rank"": 3, ""document"": ""d24105658.pdf"", ""page"": 20, ""distance"": 0.8892508745193481}, {""rank"": 4, ""document"": ""d24105658.pdf"", ""page"": 14, ""distance"": 0.8946880102157593}, {""rank"": 5, ""document"": ""d24105658.pdf"", ""page"": 25, ""distance"": 0.9085635542869568}, {""rank"": 6, ""document"": ""d24106576.pdf"", ""page"": 64, ""distance"": 0.9235020875930786}, {""rank"": 7, ""document"": ""d24106576.pdf"", ""page"": 44, ""distance"": 0.944780707359314}, {""rank"": 8, ""document"": ""d24105658.pdf"", ""page"": 50, ""distance"": 0.9705806374549866}, {""rank"": 9, ""document"": ""d24105658.pdf"", ""page"": 46, ""distance"": 0.9734125733375549}, {""rank"": 10, ""document"": ""d24106576.pdf"", ""page"": 28, ""distance"": 0.9876038432121277}]",1.0,0.0,True,False,0.013757400040049106
EQ004,How many of the selected nonfederal entities cited positive experiences with CISA OT products and services?,Twelve of 13 selected nonfederal entities cited positive experiences.,GAO-24-106576,PDF p. 2,1,"[{""evaluation_document"": ""GAO-24-106576"", ""indexed_document"": ""d24106576.pdf"", ""expected_pages"": [2]}]","[{""rank"": 1, ""document"": ""d24106576.pdf"", ""page"": 46, ""distance"": 0.6729469895362854}]",1.0,0.0,True,False,0.011828100017737597
EQ004,How many of the selected nonfederal entities cited positive experiences with CISA OT products and services?,Twelve of 13 selected nonfederal entities cited positive experiences.,GAO-24-106576,PDF p. 2,2,"[{""evaluation_document"": ""GAO-24-106576"", ""indexed_document"": ""d24106576.pdf"", ""expected_pages"": [2]}]","[{""rank"": 1, ""document"": ""d24106576.pdf"", ""page"": 46, ""distance"": 0.6729469895362854}, {""rank"": 2, ""document"": ""d24106576.pdf"", ""page"": 2, ""distance"": 0.7086263298988342}]",1.0,1.0,True,True,0.013111000007484108
