ID,Question,Reference_Answer,Source_Document,Source_Page,K_evidence
EQ032,What policy issue did GAO identify for sharing cyber threat information with critical infrastructure?,Federal agencies and critical-infrastructure owners and operators need information sharing that is effective and timely; voluntary sharing and actionable-information gaps remain barriers.,GAO-24-107733,PDF p. 2,2.0
EQ033,What policy gaps remained in the National Cybersecurity Strategy and implementation plan?,They did not fully incorporate outcome-oriented performance measures or estimated resources and costs.,GAO-24-107231,PDF p. 3,4.0
EQ034,What policy issue did GAO find in CISA's coordination on OT risks?,CISA had not fully addressed any of five selected leading collaboration practices with seven selected agencies.,GAO-24-106576,PDF p. 3,1.0
EQ035,What policy issue did GAO identify with the security of NIH's information systems?,"NIH had deficiencies across identifying risk, protecting systems, detecting and responding to events, and recovering operations.",GAO-22-104467,PDF p. 1,1.0
EQ036,What policy approach should agencies use for cybersecurity technologies protecting critical infrastructure?,"They should use a cybersecurity framework that determines security requirements, performs risk assessments, establishes policy, and selects appropriate technologies.",GAO-04-321,PDF p. 1,2.0
EQ037,What policy issue did GAO identify with the Navy's hypersonic modernization strategy?,The Navy and Army lacked a comprehensive strategy to guide investment decisions for the capability.,GAO-26-107974,PDF p. 3,1.0
EQ038,What policy safeguards are relevant when an organization deploys a widely used security update?,"The reports emphasize supply-chain risk management, testing, contingency planning, and timely cyber information sharing to mitigate disruption risk.",GAO-24-107733; GAO-24-107231,PDF pp. 1-3,
EQ039,"How should agencies prioritize cybersecurity oversight across strategy, systems, infrastructure, and privacy?","They should address the four major challenges: comprehensive strategy and oversight, federal systems and information, critical infrastructure cybersecurity, and privacy and sensitive data.",GAO-24-107231,PDF pp. 1-2,2.0
EQ040,What policy response follows when a national strategy lacks outcome measures and resource estimates?,The strategy should add applicable outcome-oriented measures and estimated resources and costs so implementation can be assessed and managed.,GAO-24-106916; GAO-24-107231,PDF pp. 2-3,2.0
EQ041,How should a K-12 organization prepare for a cyber incident according to the supplied reports?,"Use the applicable federal roles and guidance, coordinate with relevant federal support, and prepare for recovery because incidents can disrupt learning and operations.",GAO-23-105480,PDF p. 2,1.0
EQ042,How should an agency begin planning cyber vulnerability and incident-response activities?,Begin by using CISA's incident-response playbook for planning and conducting the activities.,GAO-24-105658,PDF p. 2,3.0
EQ043,How should an agency improve its ability to recover from a service disruption?,"Develop, plan for, and test contingency plans so it can detect, mitigate, and recover while preserving access to vital information.",GAO-24-107733,PDF p. 2,
EQ044,What steps should an agency take to strengthen a risk-based information-security program?,Identify threats; securely configure assets; patch vulnerable systems or replace unsupported software; and comprehensively test and evaluate security controls.,GAO-16-885T,PDF p. 2,1.0
EQ045,How should an organization select cybersecurity technologies for critical-infrastructure protection?,"Determine security business requirements, perform risk assessments, establish a security policy, and use the framework to select technologies.",GAO-04-321,PDF p. 1,1.0
EQ046,How should CISA and partner agencies improve collaboration on OT cybersecurity risks?,"Use leading collaboration practices, including defining common outcomes, ensuring accountability, bridging cultures, and clarifying roles and responsibilities.",GAO-24-106576,PDF p. 3,2.0
EQ047,How should a federal agency make its cyber threat information sharing more useful?,Work with relevant agencies and critical-sector partners to make sharing effective and timely and address gaps in voluntary and actionable information.,GAO-24-107733,PDF p. 2,4.0
EQ048,"How should an agency structure incident-response readiness around people, tools, and outside support?","Combine response tools such as EDR, services such as threat hunting and intelligence, and resources including skilled staff and funding.",GAO-24-105658,PDF p. 2,1.0
EQ049,How should a team measure progress on a national cybersecurity initiative?,"Develop applicable outcome-oriented measures and use them with implementation planning, resources, and cost information to monitor progress.",GAO-24-106916,PDF p. 2,1.0
EQ050,"How should an oversight team review reported savings from terminated contracts, grants, and leases?","Check the calculation method, supporting evidence, data-quality limitations, and whether reported savings are overstated or unverifiable.",GAO-26-108615,PDF pp. 2-3,1.0
EQ051,How should the Navy address its delayed hypersonic capability effort?,"Use a comprehensive Navy-Army strategy to guide investment decisions while addressing modernization, testing, funding, quality, and production challenges.",GAO-26-107974,PDF pp. 2-3,1.0
EQ052,How should an agency prepare for a software-supply-chain disruption like the CrowdStrike outage?,"Manage supply-chain risk, test updates and contingency plans, and establish timely information-sharing arrangements to detect, mitigate, and recover from disruption.",GAO-24-107733,PDF pp. 1-2,2.0
EQ053,How should federal leaders close gaps in a national cybersecurity strategy?,"Add outcome measures and resource/cost estimates, then strengthen oversight of supply-chain, workforce, and emerging-technology risks.",GAO-24-106916; GAO-24-107231,PDF pp. 2-3,2.0
EQ054,How should a cybersecurity program address deficiencies across the five core security functions?,"Assess and remediate deficiencies in identifying risk, protecting systems, detecting events, responding to events, and recovering operations, using the report's recommendations as the remediation agenda.",GAO-22-104467,PDF p. 1,5.0
EQ055,How should a critical-infrastructure operator use CISA OT services while managing their limitations?,"Use relevant CISA products and services, document negative experiences or disclosure delays, and coordinate with partners to improve information-sharing processes.",GAO-24-106576,PDF pp. 2-3,1.0
EQ056,How does operational technology differ from ordinary information technology in the supplied cybersecurity material?,OT interacts with the physical environment and controls processes; the reports describe IT systems more broadly as supporting information processing and operations.,GAO-24-106576; GAO-24-107231,"PDF pp. 2, 4",
EQ057,How does the CrowdStrike outage differ from the SolarWinds attack?,"CrowdStrike involved a faulty security update and human error, while SolarWinds involved malicious actors targeting widely used support software.",GAO-24-107733,PDF p. 1,1.0
EQ058,"Compare the incident-response support roles of tools, services, and resources.",Tools include EDR; services include threat hunting and intelligence; resources include skilled staff and funding.,GAO-24-105658,PDF p. 2,1.0
EQ059,Compare the two incomplete national-strategy characteristics identified by GAO.,"Outcome-oriented measures show results, while resource and cost estimates show the means required; both were only partially addressed.",GAO-24-106916,PDF p. 2,1.0
EQ060,Compare the two main OT coordination challenges identified by selected agencies.,The challenges were ineffective information sharing with owners/operators and no CISA-PHMSA process for sharing cyber threat information.,GAO-24-106576,PDF p. 3,1.0
EQ061,Compare the operational impacts of a K-12 cyberattack on learning and recovery.,"Learning loss was reported as 3 days to 3 weeks, while recovery time was reported as 2 to 9 months.",GAO-23-105480,PDF p. 2,1.0
EQ062,How do the cybersecurity findings for NIH and federal agencies generally compare?,"Both identify gaps across core security activities; NIH had specific program and system-control deficiencies, while federal agencies broadly needed stronger risk-based programs, configuration, patching, and testing.",GAO-22-104467; GAO-16-885T,"PDF pp. 1, 2",3.0
EQ063,Compare the reported repayment outcome of the Main Street Program with the internal-control improvements described by GAO.,"Seventy percent of loans had been repaid, while Federal Reserve Banks had processes addressing all 20 identified internal-control opportunities.",GAO-26-108011,PDF p. 1,3.0
EQ064,Compare Treasury's borrowing approach with the fiscal risk noted in the debt-management report.,"Treasury uses larger, more frequent auctions and a regular predictable schedule to meet needs, but the deteriorating fiscal outlook poses risks those practices cannot resolve.",GAO-26-107529,PDF pp. 2-3,1.0
EQ065,Compare the types of cybersecurity technologies available for critical-infrastructure protection with the implementation gap identified by GAO.,"Available technologies include access control, integrity, cryptography, auditing/monitoring, and configuration-management tools, but experts said they were not purchased or implemented to their full extent.",GAO-04-321,PDF p. 1,1.0
EQ066,Compare CISA's positive OT service experiences with the limitations reported by users.,"Most selected entities reported positive experiences, but some reported negative experiences and vulnerability disclosures that could take more than a year; agencies also cited coordination barriers.",GAO-24-106576,PDF pp. 2-3,1.0
EQ067,Compare the cybersecurity governance gaps in the National Cybersecurity Strategy with the gaps revealed by the CrowdStrike outage.,"The strategy lacked fully developed outcome measures and resource/cost estimates, while the outage highlighted operational gaps in supply-chain risk management, testing, contingency planning, and information sharing.",GAO-24-106916; GAO-24-107733,"PDF pp. 2, 1-2",4.0
EQ068,Compare federal-system security challenges with critical-infrastructure cybersecurity challenges in GAO's high-risk framework.,"Federal-system challenges concern securing systems and information; critical-infrastructure challenges concern protecting sector systems, including OT, where failures can harm safety, national security, the environment, and the economy.",GAO-24-107231,PDF pp. 2-4,1.0
EQ069,"Compare the transparency problems in DOGE's contract, grant, and lease savings estimates.","For contracts, DOGE often did not use its stated method; for grants, 96 percent of reported savings lacked enough information for verification; for leases, the calculation explanation was absent and savings were overstated by more than $80 million.",GAO-26-108615,PDF pp. 2-3,1.0
EQ070,Compare the Navy's DDG 1000 modernization schedule challenge with its missile-production challenge.,"Modernization was 24 months behind, while CPS production faced quality and production issues and was below the goal of 12 rounds per year; both also affected testing plans.",GAO-26-107974,PDF p. 2,1.0
EQ071,Summarize the main incident-response preparedness finding for federal agencies.,"Agencies made progress by standardizing plans and improving detection, analysis, and handling, but still needed to fully implement requirements, including event logging.",GAO-24-105658,PDF p. 2,1.0
EQ072,Summarize the main cybersecurity finding for K-12 schools.,"Cyber incidents, including ransomware, can significantly disrupt learning and impose recovery costs; national scale is uncertain and coordination/support gaps increase the challenge.",GAO-23-105480,PDF pp. 2-3,1.0
EQ073,Summarize GAO's assessment of the National Cybersecurity Strategy and its implementation plan.,The documents fully addressed four of six desirable characteristics but only partially addressed outcome measures and estimated resources and costs.,GAO-24-106916,PDF p. 2,1.0
EQ074,Summarize the cybersecurity lessons of the CrowdStrike outage.,"A faulty update caused widespread outages and highlighted the importance of supply-chain risk management, testing, contingency planning, and cyber information sharing.",GAO-24-107733,PDF pp. 1-2,1.0
EQ075,Summarize GAO's high-risk cybersecurity framework and current concern.,"GAO identifies four major challenges and 10 essential actions spanning strategy/oversight, federal systems, critical infrastructure, and privacy; progress has occurred but substantial work remains.",GAO-24-107231,PDF pp. 1-5,1.0
EQ076,"Summarize the main findings on CISA's OT cybersecurity products, services, and coordination.","Users often reported positive experiences, but GAO found negative experiences, staffing and disclosure concerns, information-sharing gaps, and incomplete use of leading collaboration practices.",GAO-24-106576,PDF pp. 2-3,1.0
EQ077,Summarize the information-security challenges described in GAO's 2016 testimony.,"Cyber incidents had risen sharply, and agencies needed more effective risk-based programs, secure configuration, patching, replacement of unsupported software, and comprehensive testing and evaluation.",GAO-16-885T,PDF p. 2,3.0
EQ078,Summarize the key findings on Treasury debt management and fiscal risk.,"Treasury has increased auction size and frequency and uses predictable issuance to meet borrowing needs, but the deteriorating fiscal outlook poses market risks beyond its debt-management practices.",GAO-26-107529,PDF pp. 2-3,1.0
EQ079,Summarize the Navy's hypersonic modernization findings.,"The Navy is behind on DDG 1000 modernization, faces unique sustainment, testing, funding, quality, and production challenges, and lacks a comprehensive Navy-Army investment strategy.",GAO-26-107974,PDF pp. 2-3,1.0
EQ080,Summarize GAO's concerns about DOGE's Wall of Receipts savings figures.,"Reported savings lacked transparent methods and evidence; contract methodology was often not followed, most grant savings were unverifiable, and lease savings were overstated by more than $80 million.",GAO-26-108615,PDF pp. 2-3,1.0
EQ081,How do CISA's incident-response playbook and the CrowdStrike findings work together to guide disruption preparedness?,"Use CISA's playbook for planning and response, and strengthen supply-chain risk management, testing, contingency planning, and information sharing to improve resilience.",GAO-24-105658; GAO-24-107733,PDF pp. 2; 1-2,
EQ082,How do federal incident-response requirements relate to the broader high-risk cybersecurity challenges?,Incident-response readiness supports the high-risk goals of securing federal systems and information and protecting critical infrastructure; agencies still need full implementation of requirements.,GAO-24-105658; GAO-24-107231,PDF pp. 2; 1-5,2.0
EQ083,How should national leaders connect strategy measurement with cybersecurity oversight?,"They should use outcome-oriented measures and resource/cost estimates in the strategy, then oversee supply-chain, workforce, and emerging-technology risks.",GAO-24-106916; GAO-24-107231,PDF pp. 2; 2-3,2.0
EQ084,How do CISA's OT coordination findings relate to the need for timely cyber threat information sharing?,"Both reports show that ineffective sharing processes impede risk mitigation; partners need clear roles, accountability, and timely, actionable sharing with critical-infrastructure owners and operators.",GAO-24-106576; GAO-24-107733,PDF pp. 3; 2,
EQ085,How do the CrowdStrike and SolarWinds examples reinforce supply-chain oversight concerns?,"CrowdStrike was an accidental faulty-update outage and SolarWinds was a malicious compromise, but both show how widely used support software can create systemic risk requiring supply-chain controls, testing, and contingency planning.",GAO-24-107733; GAO-24-107231,PDF pp. 1; 3,2.0
EQ086,How do the K-12 cybersecurity findings relate to the high-risk report's critical-infrastructure concerns?,"K-12 incidents show operational and learning harm from cyberattacks, while the high-risk report explains that critical-infrastructure attacks can endanger safety, security, the environment, and the economy; both support stronger protection and coordination.",GAO-23-105480; GAO-24-107231,PDF pp. 2; 3-4,8.0
EQ087,How do NIH security deficiencies connect to the five core security functions described in its report?,"The NIH report identifies deficiencies in identifying risk, protecting, detecting, responding, and recovering; the functions provide the structure for its 219 remediation recommendations.",GAO-22-104467; GAO-16-885T,PDF pp. 1; 2,3.0
EQ088,How do GAO's critical-infrastructure technology framework and the CISA OT report complement each other?,"The framework provides a method for choosing technologies through requirements, risk assessment, and policy, while the CISA report shows that effective products must be paired with collaboration and information sharing to manage OT risks.",GAO-04-321; GAO-24-106576,PDF pp. 1; 2-3,
EQ089,How do predictable Treasury auctions and transparent DOGE savings reporting illustrate different accountability needs?,"Treasury's regular issuance schedule supports predictable borrowing, while DOGE's reported savings require transparent methods and evidence to be reliable; both depend on clear, supportable public information.",GAO-26-107529; GAO-26-108615,PDF pp. 2; 2-3,2.0
EQ090,How do the Main Street Program's internal-control improvements and GAO's performance-accountability mission reinforce one another?,"Federal Reserve Banks addressed all 20 internal-control opportunities, illustrating the kind of accountable improvement GAO describes as helping Congress improve government performance and accountability.",GAO-26-108011; GAO-26-900644,PDF pp. 1; 2,
EQ091,Does the organization reimburse employees for home-office internet service?,Not available in the supplied knowledge base,,,
EQ092,What is the annual paid leave allowance for a new employee?,Not available in the supplied knowledge base,,,
EQ093,Can I carry unused vacation days into the next year?,Not available in the supplied knowledge base,,,
EQ094,What is the company's parental-leave policy?,Not available in the supplied knowledge base,,,
EQ095,How do I enroll in the company's health insurance plan?,Not available in the supplied knowledge base,,,
EQ096,What is the employee expense-claim approval process?,Not available in the supplied knowledge base,,,
EQ097,What is the organization-wide policy for reporting workplace harassment?,Not available in the supplied knowledge base,,,
EQ098,How do employee performance ratings affect annual bonuses?,Not available in the supplied knowledge base,,,
EQ099,"Can a remote employee work temporarily from another country, and what approvals are needed?",Not available in the supplied knowledge base,,,
EQ100,What employee data-retention schedule applies to personnel records and who may approve exceptions?,Not available in the supplied knowledge base,,,
